task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.11076788011974692,0.029917106022024978,0.013379336551063234,0.08454438047966298,0.13699137975983086
cookieTheft,baseline,-0.00603039109415322,0.006202766689391682,0.0027739615932102246,-0.01146735581684526,-0.0005934263714611806
cookieTheft,demographics,0.07111691313777299,0.024929998021300727,0.011149034050912734,0.04926480639798403,0.09296901987756195
cookieTheft,full,0.1682236325550916,0.025133733105891065,0.011240147150621868,0.14619294413987274,0.19025432097031045
cookieTheft,linguistic,0.10154688144640514,0.02061440332717033,0.009219041431030138,0.08347756024158606,0.11961620265122422
cookieTheft,linguistic+acoustic,0.13430212213608841,0.04030772739395175,0.01802616369428131,0.09897084129529704,0.1696334029768798
journaling,acoustic,0.09890985162530679,0.03894494495945125,0.017416708861864156,0.06477310225605304,0.13304660099456053
journaling,baseline,-0.005511997574530136,0.006190911251306424,0.0027686596801178892,-0.0109385705475612,-8.542460149907338e-05
journaling,demographics,0.07222132581979343,0.025417332097926713,0.011366976475530293,0.049942051927754055,0.0945005997118328
journaling,full,0.1160064388963167,0.024265368411183413,0.010851802653296435,0.09473690569585569,0.13727597209677772
journaling,linguistic,-0.026479863289131832,0.04665915523217987,0.020866608574373835,-0.06737841609490455,0.014418689516640885
journaling,linguistic+acoustic,0.05726170438776779,0.05239656448832382,0.023432455996668707,0.01133409063429712,0.10318931814123845
picnicScene,acoustic,0.10025708721371258,0.04136667985961698,0.018499741633915004,0.06399759361123918,0.136516580816186
picnicScene,baseline,-0.005970928478031245,0.006174205573693444,0.0027611886739673254,-0.011382858279007202,-0.0005589986770552875
picnicScene,demographics,0.07166562480723555,0.0240162485161138,0.010740392849311782,0.05061445482258446,0.09271679479188664
picnicScene,full,0.11210025115864988,0.029670761071409438,0.013269167739965199,0.08609268238831809,0.13810781992898166
picnicScene,linguistic,0.04475176170239921,0.022478962915733217,0.01005289782865527,0.02504808195823488,0.06445544144656354
picnicScene,linguistic+acoustic,0.08227801280007281,0.025489077622273173,0.011399062049434304,0.05993585118318158,0.10462017441696404
