task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.0025249966811988767,4.789992213216136,3.789012401207993
cookieTheft,baseline,1,-0.0013676382335912063,4.591408434797123,3.707275543777445
cookieTheft,baseline,2,-0.0033039778860277647,4.608315882551503,3.7038893369691848
cookieTheft,baseline,3,-0.004876583526879141,4.452188191825619,3.604568527918782
cookieTheft,baseline,4,-0.0005986849736119293,4.691577793943639,3.6573925335732183
cookieTheft,demographics,0,0.012177587364594511,4.754738538445408,3.7798691462755567
cookieTheft,demographics,1,-0.00410987539032015,4.5976909039973775,3.685212425101531
cookieTheft,demographics,2,0.020109922357849808,4.554226789344172,3.6299052308807753
cookieTheft,demographics,3,0.016329687746958865,4.404959630031054,3.6082487856802348
cookieTheft,demographics,4,0.010725340110458892,4.6649543751440135,3.6282221675679227
cookieTheft,linguistic,0,0.019551493202952575,4.74022317544682,3.746825537780985
cookieTheft,linguistic,1,-0.019019307148378406,4.633481664402571,3.678039991998585
cookieTheft,linguistic,2,-0.04129394562141364,4.713033478562616,3.801213858879231
cookieTheft,linguistic,3,-0.042570824113053796,4.556191840589027,3.718629514612694
cookieTheft,linguistic,4,0.016693858126372363,4.645824071150699,3.4920339167412155
cookieTheft,acoustic,0,0.021831830088878235,4.760326431852479,3.774433228071174
cookieTheft,acoustic,1,0.05594041789410775,4.467965562000441,3.647152276253406
cookieTheft,acoustic,2,0.04042565324551839,4.514667270536693,3.6399836342050245
cookieTheft,acoustic,3,0.04291949082460356,4.345016064031806,3.559641934341124
cookieTheft,acoustic,4,0.045866904677625,4.58139060140527,3.4818315807727114
cookieTheft,linguistic+acoustic,0,0.024084187593192974,4.7446742171100835,3.7616049308992388
cookieTheft,linguistic+acoustic,1,0.015905048813058875,4.563680370574956,3.6326657873960477
cookieTheft,linguistic+acoustic,2,-0.02035180211564569,4.673844847431095,3.763156156056904
cookieTheft,linguistic+acoustic,3,-0.01730823994821007,4.500652681764812,3.7147370045645136
cookieTheft,linguistic+acoustic,4,0.09613851272631802,4.454196013231119,3.3216062925198684
cookieTheft,full,0,0.020441696906254525,4.753520438932609,3.7844637644072496
cookieTheft,full,1,-0.0030834594807500615,4.607499030897958,3.642489410417471
cookieTheft,full,2,-0.017087425010273494,4.666362420979376,3.7572020714645906
cookieTheft,full,3,-0.017513377468650893,4.501106431256399,3.7349177947109844
cookieTheft,full,4,0.1004272107030697,4.443616175756786,3.329148510962549
picnicScene,baseline,0,-0.0026155060850059364,4.8019252711888845,3.804701627486438
picnicScene,baseline,1,-0.001383969264431073,4.591445874656456,3.707224529559555
picnicScene,baseline,2,-0.003329870668677515,4.60837534675892,3.703878890427114
picnicScene,baseline,3,-0.004848724232302537,4.452126474952084,3.6044469321186625
picnicScene,baseline,4,-0.0006091082893360245,4.6916022301486695,3.6573571892712615
picnicScene,demographics,0,0.01290268967195729,4.764618941800052,3.7887321076398286
picnicScene,demographics,1,-0.004455170828378208,4.5984813679065555,3.6854436854230532
picnicScene,demographics,2,0.020110668292971035,4.55422505590568,3.6294582613983577
picnicScene,demographics,3,0.016501276399522036,4.4045754189581645,3.6081475164058543
picnicScene,demographics,4,0.010802577415440773,4.664772264173508,3.627832159275287
picnicScene,linguistic,0,0.020284688206728574,4.510939272547578,3.697989473480977
picnicScene,linguistic,1,-0.03967454161318451,4.638134483883943,3.6670670311920293
picnicScene,linguistic,2,-0.09972113744755262,4.6143968800819035,3.74750672968681
picnicScene,linguistic,3,-0.07522079622711764,4.612369549462052,3.761915003307593
picnicScene,linguistic,4,-0.03219181451840236,4.822438546552124,3.6494303780691726
picnicScene,acoustic,0,0.04158348317018634,4.706910958641514,3.7691527928152855
picnicScene,acoustic,1,0.06396644466095891,4.439099306178485,3.5829140733098415
picnicScene,acoustic,2,0.022456911785919353,4.548769478194302,3.6943679069434165
picnicScene,acoustic,3,0.024339962928835224,4.386987619554469,3.6265384010881383
picnicScene,acoustic,4,0.041623902269278146,4.591524912013728,3.49684466041652
picnicScene,linguistic+acoustic,0,-0.004329512810224978,4.580409139457879,3.7277858393991057
picnicScene,linguistic+acoustic,1,-0.03241261842669041,4.621907868505149,3.700142873637584
picnicScene,linguistic+acoustic,2,-0.10364275975428328,4.622617063016878,3.7872478309448225
picnicScene,linguistic+acoustic,3,-0.043778900243202745,4.54443111996203,3.7433485764207175
picnicScene,linguistic+acoustic,4,0.03420015108255181,4.66476815095242,3.5650385293805296
picnicScene,full,0,-0.0036080293704194855,4.5787636222183385,3.7368728235074764
picnicScene,full,1,-0.04977822770797036,4.660616977011093,3.686628576787966
picnicScene,full,2,-0.0981373068770186,4.611072830052858,3.7581795193148646
picnicScene,full,3,-0.039625464543872724,4.535380440318206,3.7427533750003312
picnicScene,full,4,0.02791451201297246,4.67992320436224,3.576868274057182
journaling,baseline,0,-0.002403621474946105,4.799860602694871,3.7980360726666147
journaling,baseline,1,-0.0009655506589010265,4.614173435323561,3.7258307169021454
journaling,baseline,2,-0.0028235201519639652,4.631716918030662,3.7257653061224487
journaling,baseline,3,-0.004345023037062523,4.451010474865092,3.60218494813507
journaling,baseline,4,-0.0009038025594936272,4.703282928562661,3.6692470091484872
journaling,demographics,0,0.01203360570523293,4.7651699836370875,3.793311186260191
journaling,demographics,1,-0.0033714228117021072,4.619715308792849,3.7021843169428847
journaling,demographics,2,0.020188856568920888,4.5782651350767685,3.6507379706186223
journaling,demographics,3,0.015953377826880666,4.405802123436376,3.6083829566450514
journaling,demographics,4,0.010908163825151695,4.675448135939723,3.6420274268748263
journaling,linguistic,0,-0.08422093338590741,5.106158274341178,4.107706621117995
journaling,linguistic,1,-0.0242635730601386,4.657880675898009,3.7427147197674557
journaling,linguistic,2,-0.07163987706954389,4.585601948141346,3.6633400728149166
journaling,linguistic,3,-0.024398053300591194,4.616027000712699,3.7609658541835373
journaling,linguistic,4,-0.12580140454277422,4.858258437939714,3.654940545877298
journaling,acoustic,0,0.06552372909234483,4.63437796134809,3.6835962242207545
journaling,acoustic,1,0.02823661668999311,4.568805716348427,3.6840674151372528
journaling,acoustic,2,0.024695871547912196,4.567723260116379,3.6875650456975624
journaling,acoustic,3,-0.022312278696530408,4.490647222187136,3.680044059472852
journaling,acoustic,4,0.020739293466673914,4.663829470994809,3.609440240856975
journaling,linguistic+acoustic,0,-0.042975806452130394,5.008094273515297,4.0512067366348505
journaling,linguistic+acoustic,1,-0.019538047710646156,4.661188750688083,3.7321677100592634
journaling,linguistic+acoustic,2,-0.03706939300191725,4.511031179163725,3.6163059091631427
journaling,linguistic+acoustic,3,-0.07430172000400992,4.727125187340933,3.8305272052518706
journaling,linguistic+acoustic,4,-0.04333113802903399,4.692304168806613,3.5256015750115695
journaling,full,0,-0.04835013385892606,5.02098074440983,4.0806095192812615
journaling,full,1,-0.022503815802398464,4.667963370927287,3.7522735968421186
journaling,full,2,-0.021785910336072023,4.47766785385861,3.574636558873402
journaling,full,3,-0.08544859885002687,4.751586058717933,3.8475416864044165
journaling,full,4,-0.039471888652666376,4.683617785229295,3.492163230211657
