task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.0023145368304853253,4.789489405823497,3.7880251451091262
cookieTheft,baseline,1,-0.0011224451569222804,4.590846278382219,3.708081661567086
cookieTheft,baseline,2,-0.0032835298057818374,4.6082689218620345,3.7038976157860826
cookieTheft,baseline,3,-0.0053228869240931065,4.453176773989995,3.6064711173938186
cookieTheft,baseline,4,-0.0004619091697313227,4.69125712779431,3.657888496219667
cookieTheft,demographics,0,-0.21790655354399813,5.279516920641315,4.181106206070673
cookieTheft,demographics,1,-0.19171411721479226,5.008817334605823,3.9516330687314047
cookieTheft,demographics,2,-0.27548737893233133,5.195939150218902,4.1943696413948945
cookieTheft,demographics,3,-0.13745949707369998,4.736800795544448,3.915266723406318
cookieTheft,demographics,4,-0.1826586568356321,5.100569453877067,3.975860839353076
cookieTheft,linguistic,0,0.005522509866336511,4.774016033349522,3.7476090750436306
cookieTheft,linguistic,1,0.017072527670860982,4.550687145223223,3.6934364261168384
cookieTheft,linguistic,2,-0.011396319417803058,4.6448804171202385,3.737457044673539
cookieTheft,linguistic,3,-0.03977210424586075,4.550072316860317,3.69146804835924
cookieTheft,linguistic,4,0.03897557086011638,4.592885278265318,3.478941798941799
cookieTheft,acoustic,0,-0.04050356563802415,4.909663845811811,3.9132297063903283
cookieTheft,acoustic,1,0.018626998277766926,4.555406820787413,3.646463620981387
cookieTheft,acoustic,2,-0.02738038415202415,4.6714539138780715,3.7763790186125212
cookieTheft,acoustic,3,0.012151594884178718,4.414304645671177,3.5885617597292727
cookieTheft,acoustic,4,0.005790121119368163,4.676617791551279,3.5938435374149655
cookieTheft,linguistic+acoustic,0,0.03604505809508329,4.715509103192652,3.6983068783068784
cookieTheft,linguistic+acoustic,1,0.031936479956927166,4.526355342717081,3.703488773747841
cookieTheft,linguistic+acoustic,2,0.009171946990001123,4.605729954829157,3.7179965457685666
cookieTheft,linguistic+acoustic,3,-0.022858786594769143,4.512914009955766,3.6480483592400694
cookieTheft,linguistic+acoustic,4,0.07510612335475975,4.505721413449165,3.4050440917107583
cookieTheft,full,0,0.04605882809826256,4.690952303072392,3.6930864197530866
cookieTheft,full,1,0.06595083497181786,4.446124158696237,3.641070811744387
cookieTheft,full,2,0.02569305496340346,4.567170477610855,3.6935405872193443
cookieTheft,full,3,-0.00174675570249061,4.466097403984468,3.629015544041451
cookieTheft,full,4,0.06501131772268132,4.530243656115447,3.414991181657848
picnicScene,baseline,0,-0.0024017378110678944,4.80141333316701,3.8036571084129855
picnicScene,baseline,1,-0.0015119155857221678,4.591739188641639,3.7068348459211404
picnicScene,baseline,2,-0.002588304447894929,4.606671995109312,3.704196277495769
picnicScene,baseline,3,-0.004458939703992693,4.4512628930526805,3.6027075331493306
picnicScene,baseline,4,-0.0006430026333941186,4.69168169046551,3.6572443003309045
picnicScene,demographics,0,-0.21787148918852317,5.292354420379701,4.196682144763777
picnicScene,demographics,1,-0.1926114164332533,5.010702670240817,3.9679835087284583
picnicScene,demographics,2,-0.3039469639409742,5.253587105606168,4.245815976578602
picnicScene,demographics,3,-0.16049936827224176,4.78453355388577,3.9764051513442378
picnicScene,demographics,4,-0.15794786600537192,5.047001821641591,3.914951175915643
picnicScene,linguistic,0,-0.00777722698327632,4.575086429405043,3.735210727969349
picnicScene,linguistic,1,-0.05738288009992054,4.677467401183511,3.7615837937384895
picnicScene,linguistic,2,-0.05007279062890935,4.5090324561852855,3.6354022988505745
picnicScene,linguistic,3,0.020462618520883935,4.40236224885751,3.5843462246777165
picnicScene,linguistic,4,0.04050746160039631,4.649511193077648,3.5856776556776557
picnicScene,acoustic,0,0.060306415501321986,4.660708797567865,3.7385641025641023
picnicScene,acoustic,1,0.015855094434724437,4.55175288443778,3.64976430976431
picnicScene,acoustic,2,-0.005759827046204036,4.613952465217937,3.664545454545454
picnicScene,acoustic,3,-0.014326269775126965,4.473073012717427,3.6835871404399327
picnicScene,acoustic,4,0.056747644932770624,4.555152354462277,3.433333333333334
picnicScene,linguistic+acoustic,0,-0.016597897446396503,4.608300210328791,3.7429287090558767
picnicScene,linguistic+acoustic,1,-0.06702990006277809,4.698756362768826,3.7646777163904233
picnicScene,linguistic+acoustic,2,-0.03369113158194015,4.473722624969014,3.6091954022988504
picnicScene,linguistic+acoustic,3,0.005922234118450054,4.434916512066421,3.677458563535912
picnicScene,linguistic+acoustic,4,0.0908161897683637,4.5259770091846345,3.440512820512821
picnicScene,full,0,0.024956620943216823,4.513132966297761,3.667938342967245
picnicScene,full,1,-0.02742406216859039,4.610727955265941,3.682983425414364
picnicScene,full,2,-0.013678341407938,4.430204179006695,3.568352490421456
picnicScene,full,3,0.02370679089482597,4.395066015353178,3.6231675874769795
