task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.005332408217185947,5.945652116273656,4.727125500889759
cookieTheft,baseline,1,-0.0015243311694033146,5.580930331510688,4.419787225870876
cookieTheft,baseline,2,-0.007144885050037519,5.291105440539355,4.327437876867535
cookieTheft,baseline,3,-0.0159333205362584,5.960054335946219,4.631639144123883
cookieTheft,baseline,4,-0.00021701049788092064,5.65240339175612,4.5100621791067885
cookieTheft,demographics,0,0.03726811602135116,5.818316352242567,4.586469696383914
cookieTheft,demographics,1,0.055397613889983655,5.4200134964057645,4.263522624000384
cookieTheft,demographics,2,0.07434011934982498,5.072547950473857,4.1392866815400895
cookieTheft,demographics,3,0.09639509922413059,5.620913547353423,4.311613459433607
cookieTheft,demographics,4,0.0921836172035746,5.384991698956099,4.207704897988955
cookieTheft,linguistic,0,0.101863664630089,5.384719585905768,4.141733812857686
cookieTheft,linguistic,1,0.136914474522424,5.176920624613432,4.017444860479783
cookieTheft,linguistic,2,0.0901663398644903,4.924770749222062,4.04577279167496
cookieTheft,linguistic,3,0.09285853089944451,5.57144490092288,4.3635415955501475
cookieTheft,linguistic,4,0.08593139731557786,5.421147211111777,4.178471405207644
cookieTheft,acoustic,0,0.1369600806977621,5.428277800215535,4.256567297760262
cookieTheft,acoustic,1,0.07563183415658215,5.3722824251948005,4.296976393736508
cookieTheft,acoustic,2,0.1138081496976584,4.974214770917821,4.096763280039809
cookieTheft,acoustic,3,0.08514616201582947,5.65579258255486,4.342216348471038
cookieTheft,acoustic,4,0.14229317403090247,5.240359750220018,4.0736385864530975
cookieTheft,linguistic+acoustic,0,0.11931604961987852,5.323997287678623,4.119754898299182
cookieTheft,linguistic+acoustic,1,0.1983897064895207,4.999348070951926,3.9659131543651363
cookieTheft,linguistic+acoustic,2,0.12399795128038804,4.843497785243442,4.006756029168091
cookieTheft,linguistic+acoustic,3,0.0893275064790251,5.582277721254817,4.292688570602365
cookieTheft,linguistic+acoustic,4,0.1404793968116297,5.256902843537392,4.059490003276361
cookieTheft,full,0,0.1579287905795217,5.205976389554187,4.0519751145004586
cookieTheft,full,1,0.178506416279263,5.060970664840467,4.0153586964105035
cookieTheft,full,2,0.1550021468142021,4.757013099443923,3.989405136870934
cookieTheft,full,3,0.14280349054225083,5.415898623308407,4.174286813688728
cookieTheft,full,4,0.2068773185602203,5.049774556695756,3.937646549259688
picnicScene,baseline,0,-0.005076336229019374,5.9584374480644815,4.739360367489529
picnicScene,baseline,1,-0.001485729708710748,5.580822778387919,4.419871301850998
picnicScene,baseline,2,-0.007239575649487184,5.291354166506008,4.3276162641644875
picnicScene,baseline,3,-0.015820913049710006,5.959724603055887,4.631545424716759
picnicScene,baseline,4,-0.00023208775322891562,5.6524459937151015,4.510178248514596
picnicScene,demographics,0,0.04030176211350245,5.822375478510218,4.584602915456583
picnicScene,demographics,1,0.055352081164597666,5.420144125449179,4.26338061679443
picnicScene,demographics,2,0.07370893066172335,5.074277089512722,4.140892978853743
picnicScene,demographics,3,0.09692055524304621,5.619278998693444,4.309868675030142
picnicScene,demographics,4,0.09204479485330808,5.385403416920902,4.207983397153233
picnicScene,linguistic,0,0.06687182923882362,5.798000252111648,4.369685848386587
picnicScene,linguistic,1,0.06078216519377766,5.362744379029671,4.220148715280118
picnicScene,linguistic,2,0.01034144556430916,4.94047658501596,4.035180151955984
picnicScene,linguistic,3,0.03640558839921737,5.674464041193898,4.369206191231356
picnicScene,linguistic,4,0.04935778011586822,5.579543494615756,4.370547415485406
picnicScene,acoustic,0,0.1261842977647326,5.555917342475814,4.356215919180512
picnicScene,acoustic,1,0.0425505165538429,5.456746561141345,4.395758955734398
picnicScene,acoustic,2,0.13261443695482722,4.910283137041223,3.9829828271556367
picnicScene,acoustic,3,0.070006657619883,5.702398143017014,4.411665381398945
picnicScene,acoustic,4,0.12992952717527717,5.271852435733239,4.187438597511794
picnicScene,linguistic+acoustic,0,0.04889208439895498,5.854019160201923,4.356388526097422
picnicScene,linguistic+acoustic,1,0.10436854743822743,5.236831487493249,4.26512590551849
