task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.041396859346146585,0.012425260744248974,0.005556745532460067,0.030505638102524855,0.05228808058976832
cookieTheft,baseline,-0.0025343762602617836,0.0016723103703239056,0.0007478799335044199,-0.0040002209299304465,-0.0010685315905931206
cookieTheft,demographics,0.011046532437908384,0.009235203231039702,0.004130108442126094,0.00295151989134124,0.01914154498447553
cookieTheft,full,0.00936278196481608,0.04199485717861385,0.01878067107135512,-0.02744733333503995,0.046172897264672115
cookieTheft,linguistic,-0.021051648116417243,0.02638808434819395,0.011801110079711978,-0.04418182387265272,0.0020785276398182333
cookieTheft,linguistic+acoustic,0.010052358581636334,0.04126784475269338,0.018455541230386077,-0.026120502229920378,0.046225219393193046
journaling,acoustic,0.02337664642007873,0.03120965296449619,0.013957381116558261,-0.00397982056837546,0.05073311340853292
journaling,baseline,-0.0022883035764734495,0.0014314650089085545,0.000640170613466374,-0.0035430379788675423,-0.0010335691740793566
journaling,demographics,0.011142516222896814,0.008894999309172293,0.003977964623024583,0.0033457055617686316,0.018939326884024995
journaling,full,-0.03584826282332161,0.01588303835256717,0.007103110689115292,-0.04977035977398758,-0.02192616587265564
journaling,linguistic,-0.0463808936176644,0.03633189021316939,0.016248115253541216,-0.07822719951460519,-0.014534587720723614
journaling,linguistic+acoustic,-0.034969474885409024,0.021492825472537246,0.009611883757026464,-0.05380876704918089,-0.016130182721637156
picnicScene,acoustic,0.038794140963035594,0.016772456381590046,0.007500870523777099,0.02409243473643248,0.05349584718963871
picnicScene,baseline,-0.0025574357079506172,0.001660047760100829,0.0007423959274963434,-0.00401253172584345,-0.0011023396900577843
picnicScene,demographics,0.011172408190302584,0.00942922590734638,0.004216878020805727,0.0029073272695233597,0.01943748911108181
picnicScene,full,0.019874707348903287,0.037402619041281934,0.016726959742566883,-0.012910133746527802,0.052659548444334375
picnicScene,linguistic,-0.008635074205752468,0.03563019752498543,0.015934308743522436,-0.03986631934305644,0.02259617093155151
picnicScene,linguistic+acoustic,0.021081236228719536,0.04177982269936972,0.018684504728735892,-0.01554039303960281,0.057702865497041886
