task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,-0.006263047101746899,0.026087579881807398,0.011666720396835454,-0.02912981907954439,0.01660372487605059
cookieTheft,baseline,-0.0025010615774027746,0.0019149720672499396,0.0008564015434768327,-0.004179608602617367,-0.0008225145521881826
cookieTheft,demographics,-0.20104524072009075,0.05073021520660021,0.02268724194303032,-0.24551223492843016,-0.15657824651175134
cookieTheft,full,0.0377289448973688,0.031152165696637358,0.013931672028803644,0.010422867720913654,0.06503502207382394
cookieTheft,linguistic,-0.0003270194420835759,0.03536478574109388,0.01581561298536024,-0.03132562089338965,0.030671582009222497
cookieTheft,linguistic+acoustic,0.021264508103174973,0.031588320657939754,0.014126726457242833,-0.006423875753020978,0.04895289195937093
journaling,acoustic,-0.050397716125832256,0.0402061677298491,0.017980744831740197,-0.08563997599604303,-0.015155456255621473
journaling,baseline,-0.0022546479839685497,0.001563976614730538,0.0006994316051514964,-0.0036255339300654828,-0.0008837620378716166
journaling,demographics,-0.20487754501160857,0.05733017119497355,0.02563883199073224,-0.25512965571344376,-0.15462543430977338
journaling,full,0.01768558951791297,0.03651239293486825,0.01632883852470969,-0.01431893399051802,0.04969011302634396
journaling,linguistic,-0.014759413328668924,0.04570324817221961,0.02043911394112521,-0.05482007665327434,0.02530124999593649
journaling,linguistic+acoustic,0.01438976228239892,0.03142142537864214,0.014052088619316179,-0.013152331411460789,0.041931855976258633
picnicScene,acoustic,0.022564611609497208,0.03464517319700734,0.015493792472152426,-0.007803221635921547,0.052932444854915967
picnicScene,baseline,-0.0023207800364143604,0.0014246972441322833,0.0006371439770472797,-0.0035695822314270285,-0.0010719778414016922
picnicScene,demographics,-0.20657542076807286,0.05977343409595229,0.0267314923774306,-0.2589691458278368,-0.1541816957083089
picnicScene,full,0.04301312553931571,0.0300333778305801,0.013431334884622453,0.016687709165455703,0.06933854191317572
picnicScene,linguistic,-0.0045099191430877815,0.03043957994285193,0.013612993991751214,-0.031191387366920162,0.022171549080744597
picnicScene,linguistic+acoustic,0.034162063968188904,0.02942096947890108,0.013157457543753876,0.008373447182431305,0.0599506807539465
