task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,-0.03254615666860683,0.22507495732025465,0.10065658092019066,-0.2298330552721805,0.16474074193496685
cookieTheft,baseline,-0.010408274325520361,0.015017020802436144,0.006715815866755131,-0.02357127342436042,0.0027547247733196965
cookieTheft,demographics,-0.2049716912296881,0.20595496125645762,0.09210585873455494,-0.38549917434941583,-0.024444208109960425
cookieTheft,full,0.16104781014311156,0.17896033238839115,0.08003349369927998,0.004182162492522817,0.3179134577937003
cookieTheft,linguistic,0.14703275094032192,0.18492915812082328,0.08270283371599361,-0.015064803143025551,0.3091303050236694
cookieTheft,linguistic+acoustic,0.15970100692876665,0.18177855794308803,0.08129384248252583,0.00036507566301602346,0.3190369381945173
journaling,acoustic,-0.07845989824350239,0.07992295869139274,0.035742633719372356,-0.14851546033347218,-0.008404336153532574
journaling,baseline,-0.010061167959339867,0.014502398575977966,0.006485669810536576,-0.022773080787991555,0.0026507448693118205
journaling,demographics,-0.1910910768297346,0.18281117788288775,0.08175564415858862,-0.3513321393805683,-0.03085001427890094
journaling,full,0.042244554564037175,0.13096569860595653,0.058569640960733645,-0.07255194171900076,0.15704105084707512
journaling,linguistic,0.019083460058259137,0.13298705046429216,0.059473616993070445,-0.09748482924815893,0.13565174936467722
journaling,linguistic+acoustic,0.043196312476813194,0.12236974298056137,0.05472541273874259,-0.06406549649112228,0.15045812144474865
picnicScene,acoustic,0.06481572139930587,0.15790707509637816,0.07061819080873315,-0.07359593258581108,0.20322737538442281
picnicScene,baseline,-0.01036801251160191,0.015112459740995152,0.006758497457618805,-0.023614667528534767,0.002878642505330948
picnicScene,demographics,-0.21117711339918874,0.19229335679615633,0.08599620348356535,-0.37972967222697684,-0.04262455457140066
picnicScene,full,0.20637054388381237,0.12960768835512756,0.057962320313734626,0.0927643960688925,0.3199766916987322
picnicScene,linguistic,0.19478987363716824,0.1230754385965365,0.05504100941249138,0.08690949518868513,0.30267025208565135
picnicScene,linguistic+acoustic,0.1984447855642171,0.13378493104133599,0.059830440034709796,0.08117712309618591,0.3157124480322483
