task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.04645499869846992,0.03588886029948031,0.016049986252926286,0.014997025642734398,0.07791297175420545
cookieTheft,baseline,-0.006247646646712335,0.006475333472971102,0.0028958571645086363,-0.011923526689149262,-0.000571766604275408
cookieTheft,demographics,-0.10880387878387535,0.030774965494737214,0.013762982970288572,-0.13577932540564094,-0.08182843216210975
cookieTheft,full,0.158956489012402,0.01683844201587169,0.007530380196535538,0.14419694382719234,0.17371603419761167
cookieTheft,linguistic,0.11194219392663159,0.016623473751339622,0.007434243466035766,0.09737107673320149,0.1265133111200617
cookieTheft,linguistic+acoustic,0.13497491127194655,0.026555598158901197,0.011876024533294267,0.11169790318668979,0.1582519193572033
journaling,acoustic,0.007582234066095395,0.047902083583673656,0.021422463031394206,-0.03440579347543725,0.049570261607628036
journaling,baseline,-0.005417086819123984,0.006016679508628295,0.00269074087602458,-0.010690938936132162,-0.00014323470211580636
journaling,demographics,-0.09909323131137744,0.037388178746185295,0.016720501846276634,-0.13186541493007964,-0.06632104769267524
journaling,full,0.13957409272805976,0.0352832327489498,0.015779141378519705,0.10864697562616114,0.1705012098299584
journaling,linguistic,0.06137173854562652,0.020584856136579358,0.009205827525689027,0.04332831659527603,0.07941516049597701
journaling,linguistic+acoustic,0.13094825187300815,0.03706673727304236,0.01657674884932958,0.09845782412832217,0.16343867961769415
picnicScene,acoustic,0.06482485027625282,0.045867827668635355,0.02051271612946287,0.024619926662505585,0.10502977389000004
picnicScene,baseline,-0.0056754357296274534,0.0057683227626720065,0.0025796723626987984,-0.010731593560517099,-0.0006192778987378087
picnicScene,demographics,-0.1098591036051105,0.037647820497284455,0.016836617167327594,-0.1428588732530726,-0.07685933395714842
picnicScene,full,0.1698487363705109,0.041998429750147864,0.018782268773916026,0.13303548957363548,0.20666198316738632
picnicScene,linguistic,0.12466464321484709,0.047637935368008755,0.021304332358121805,0.08290815179292835,0.16642113463676583
picnicScene,linguistic+acoustic,0.1599112897263989,0.04325458132140497,0.01934403683459084,0.12199697753060085,0.19782560192219695
