task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.0025249966811988767,4.789992213216136,3.789012401207993
cookieTheft,baseline,1,-0.0013676382335912063,4.591408434797123,3.707275543777445
cookieTheft,baseline,2,-0.0033039778860277647,4.608315882551503,3.7038893369691848
cookieTheft,baseline,3,-0.004876583526879141,4.452188191825619,3.604568527918782
cookieTheft,baseline,4,-0.0005986849736119293,4.691577793943639,3.6573925335732183
cookieTheft,demographics,0,0.012177587364594511,4.754738538445408,3.7798691462755567
cookieTheft,demographics,1,-0.00410987539032015,4.5976909039973775,3.685212425101531
cookieTheft,demographics,2,0.020109922357849808,4.554226789344172,3.6299052308807753
cookieTheft,demographics,3,0.016329687746958865,4.404959630031054,3.6082487856802348
cookieTheft,demographics,4,0.010725340110458892,4.6649543751440135,3.6282221675679227
cookieTheft,linguistic,0,0.013470167734145444,4.754901293426659,3.7419108679777864
cookieTheft,linguistic,1,-0.015646187015792234,4.629912925161713,3.6704040938516305
cookieTheft,linguistic,2,-0.04905508763240918,4.724780573096973,3.8050118201089544
cookieTheft,linguistic,3,-0.04584263516761511,4.542033380863986,3.7049726896375894
cookieTheft,linguistic,4,-0.008184498500415138,4.691825192384375,3.5495034297966037
cookieTheft,acoustic,0,0.021831830088878235,4.760326431852479,3.774433228071174
cookieTheft,acoustic,1,0.05594041789410775,4.467965562000441,3.647152276253406
cookieTheft,acoustic,2,0.04042565324551839,4.514667270536693,3.6399836342050245
cookieTheft,acoustic,3,0.04291949082460356,4.345016064031806,3.559641934341124
cookieTheft,acoustic,4,0.045866904677625,4.58139060140527,3.4818315807727114
cookieTheft,linguistic+acoustic,0,0.014608359016916372,4.767653202337515,3.743300926729408
cookieTheft,linguistic+acoustic,1,0.014616306292138281,4.570657691146776,3.631571549749564
cookieTheft,linguistic+acoustic,2,-0.02192163814571768,4.671610663549473,3.7591316390108305
cookieTheft,linguistic+acoustic,3,-0.030899348729506837,4.509467726194051,3.6979834890095273
cookieTheft,linguistic+acoustic,4,0.07385811447435153,4.496872539909175,3.3927691397192166
cookieTheft,full,0,0.012268573373487524,4.773310177656322,3.7648689581725185
cookieTheft,full,1,0.002060079689392591,4.59968625450808,3.6395714282318856
cookieTheft,full,2,-0.015768726461595328,4.657525725981554,3.7465673441146112
cookieTheft,full,3,-0.030301597130233615,4.50816016284937,3.7137203721952594
cookieTheft,full,4,0.07855558035302923,4.48545379331749,3.4026129630717477
picnicScene,baseline,0,-0.0026155060850059364,4.8019252711888845,3.804701627486438
picnicScene,baseline,1,-0.001383969264431073,4.591445874656456,3.707224529559555
picnicScene,baseline,2,-0.003329870668677515,4.60837534675892,3.703878890427114
picnicScene,baseline,3,-0.004848724232302537,4.452126474952084,3.6044469321186625
picnicScene,baseline,4,-0.0006091082893360245,4.6916022301486695,3.6573571892712615
picnicScene,demographics,0,0.01290268967195729,4.764618941800052,3.7887321076398286
picnicScene,demographics,1,-0.004455170828378208,4.5984813679065555,3.6854436854230532
picnicScene,demographics,2,0.020110668292971035,4.55422505590568,3.6294582613983577
picnicScene,demographics,3,0.016501276399522036,4.4045754189581645,3.6081475164058543
picnicScene,demographics,4,0.010802577415440773,4.664772264173508,3.627832159275287
picnicScene,linguistic,0,0.00945498242837306,4.784577218969074,3.8347544904602144
picnicScene,linguistic,1,0.02211761606015672,4.5372474271779675,3.6210992258384365
picnicScene,linguistic,2,-0.05219239658551089,4.724897873200523,3.82619287829344
picnicScene,linguistic,3,0.019494421823303743,4.423656910278277,3.6114690820719146
picnicScene,linguistic,4,-0.042049994755084974,4.808223475273622,3.631869617624225
picnicScene,acoustic,0,0.04158348317018634,4.706910958641514,3.7691527928152855
picnicScene,acoustic,1,0.06396644466095891,4.439099306178485,3.5829140733098415
picnicScene,acoustic,2,0.022456911785919353,4.548769478194302,3.6943679069434165
picnicScene,acoustic,3,0.024339962928835224,4.386987619554469,3.6265384010881383
picnicScene,acoustic,4,0.041623902269278146,4.591524912013728,3.49684466041652
picnicScene,linguistic+acoustic,0,0.007721054407063943,4.801088206625756,3.837654673419979
picnicScene,linguistic+acoustic,1,0.049686825296631265,4.472831387153253,3.6056208221581207
picnicScene,linguistic+acoustic,2,-0.046479790246237274,4.712054111338256,3.8354528648777926
picnicScene,linguistic+acoustic,3,0.042116261007546396,4.372328690069598,3.5915980035952404
picnicScene,linguistic+acoustic,4,0.052361830678593346,4.585235425954172,3.461584144055285
picnicScene,full,0,0.011061709369381223,4.792999603506687,3.844110315433685
picnicScene,full,1,0.02740907420083638,4.5249549357971155,3.604581613702788
picnicScene,full,2,-0.03984653242453118,4.697096365264614,3.80523012758527
picnicScene,full,3,0.046235233282606925,4.362917890925283,3.5965215342158263
picnicScene,full,4,0.05451405231622308,4.580025603919928,3.4647737743642506
journaling,baseline,0,-0.002403621474946105,4.799860602694871,3.7980360726666147
journaling,baseline,1,-0.0009655506589010265,4.614173435323561,3.7258307169021454
journaling,baseline,2,-0.0028235201519639652,4.631716918030662,3.7257653061224487
journaling,baseline,3,-0.004345023037062523,4.451010474865092,3.60218494813507
journaling,baseline,4,-0.0009038025594936272,4.703282928562661,3.6692470091484872
journaling,demographics,0,0.01203360570523293,4.7651699836370875,3.793311186260191
journaling,demographics,1,-0.0033714228117021072,4.619715308792849,3.7021843169428847
journaling,demographics,2,0.020188856568920888,4.5782651350767685,3.6507379706186223
journaling,demographics,3,0.015953377826880666,4.405802123436376,3.6083829566450514
journaling,demographics,4,0.010908163825151695,4.675448135939723,3.6420274268748263
journaling,linguistic,0,-0.0659527507299349,4.906421069834842,3.9162898875841914
journaling,linguistic,1,-0.015137036839564022,4.675934568721797,3.7200208466304328
journaling,linguistic,2,-0.0618980637402089,4.819867557280619,3.88571875384482
journaling,linguistic,3,-0.0016061580808277576,4.426720648937671,3.59214927256262
journaling,linguistic,4,-0.08731045869778642,4.841753978553216,3.7469400849172403
journaling,acoustic,0,0.06552372909234483,4.63437796134809,3.6835962242207545
journaling,acoustic,1,0.02823661668999311,4.568805716348427,3.6840674151372528
journaling,acoustic,2,0.024695871547912196,4.567723260116379,3.6875650456975624
journaling,acoustic,3,-0.022312278696530408,4.490647222187136,3.680044059472852
journaling,acoustic,4,0.020739293466673914,4.663829470994809,3.609440240856975
journaling,linguistic+acoustic,0,-0.03639187108118569,4.837910595477032,3.912934081059254
journaling,linguistic+acoustic,1,-0.0024146079973019763,4.658887543302857,3.742693423439816
journaling,linguistic+acoustic,2,-0.03069588593385353,4.74852754369527,3.82132928344327
journaling,linguistic+acoustic,3,-0.04428008176008591,4.520038361275409,3.6637974279199477
journaling,linguistic+acoustic,4,-0.06106492765461802,4.795243945864013,3.676837352497576
journaling,full,0,-0.03626774525394971,4.837620875124653,3.903002596015374
journaling,full,1,-0.014390448048707816,4.686634763244891,3.7840345794981025
journaling,full,2,-0.026583982964464292,4.739046086715435,3.7874638388866413
journaling,full,3,-0.052325995395389846,4.537417825004314,3.6832453740444713
journaling,full,4,-0.049673142454096375,4.769433177984491,3.647021949705514
