task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.0023145368304853253,4.789489405823497,3.7880251451091262
cookieTheft,baseline,1,-0.0011224451569222804,4.590846278382219,3.708081661567086
cookieTheft,baseline,2,-0.0032835298057818374,4.6082689218620345,3.7038976157860826
cookieTheft,baseline,3,-0.0053228869240931065,4.453176773989995,3.6064711173938186
cookieTheft,baseline,4,-0.0004619091697313227,4.69125712779431,3.657888496219667
cookieTheft,demographics,0,-0.21790655354399813,5.279516920641315,4.181106206070673
cookieTheft,demographics,1,-0.19171411721479226,5.008817334605823,3.9516330687314047
cookieTheft,demographics,2,-0.27548737893233133,5.195939150218902,4.1943696413948945
cookieTheft,demographics,3,-0.13745949707369998,4.736800795544448,3.915266723406318
cookieTheft,demographics,4,-0.1826586568356321,5.100569453877067,3.975860839353076
cookieTheft,linguistic,0,-0.009527594910331061,4.810004601861039,3.768795811518324
cookieTheft,linguistic,1,0.0382857933294386,4.505309364700201,3.655544217687075
cookieTheft,linguistic,2,-0.011550242533966193,4.639553916511552,3.737312925170068
cookieTheft,linguistic,3,-0.049017558719053334,4.548922410094791,3.6976988155668353
cookieTheft,linguistic,4,0.030174505623494108,4.6017032965746925,3.510362694300518
cookieTheft,acoustic,0,-0.04050356563802415,4.909663845811811,3.9132297063903283
cookieTheft,acoustic,1,0.018626998277766926,4.555406820787413,3.646463620981387
cookieTheft,acoustic,2,-0.02738038415202415,4.6714539138780715,3.7763790186125212
cookieTheft,acoustic,3,0.012151594884178718,4.414304645671177,3.5885617597292727
cookieTheft,acoustic,4,0.005790121119368163,4.676617791551279,3.5938435374149655
cookieTheft,linguistic+acoustic,0,0.015428402633999805,4.765668967256053,3.725291005291005
cookieTheft,linguistic+acoustic,1,0.05728033392874854,4.47061524667027,3.644
cookieTheft,linguistic+acoustic,2,-0.0010150162427622345,4.623577480474261,3.71357264957265
cookieTheft,linguistic+acoustic,3,-0.01533910745703615,4.475305709749166,3.57580372250423
cookieTheft,linguistic+acoustic,4,0.049967927652924904,4.554502539179197,3.473229706390328
cookieTheft,full,0,0.03861806615096697,4.709211531777778,3.6746737213403877
cookieTheft,full,1,0.04799870331778633,4.4925692621815605,3.6193504273504273
cookieTheft,full,2,0.02071186481030407,4.573125185265975,3.6899487179487176
cookieTheft,full,3,-0.0009882690488403068,4.443566094819554,3.5895769881556676
cookieTheft,full,4,0.08230435925662694,4.476320246319607,3.410155440414508
picnicScene,baseline,0,-0.0024017378110678944,4.80141333316701,3.8036571084129855
picnicScene,baseline,1,-0.0015119155857221678,4.591739188641639,3.7068348459211404
picnicScene,baseline,2,-0.002588304447894929,4.606671995109312,3.704196277495769
picnicScene,baseline,3,-0.004458939703992693,4.4512628930526805,3.6027075331493306
picnicScene,baseline,4,-0.0006430026333941186,4.69168169046551,3.6572443003309045
picnicScene,demographics,0,-0.21787148918852317,5.292354420379701,4.196682144763777
picnicScene,demographics,1,-0.1926114164332533,5.010702670240817,3.9679835087284583
picnicScene,demographics,2,-0.3039469639409742,5.253587105606168,4.245815976578602
picnicScene,demographics,3,-0.16049936827224176,4.78453355388577,3.9764051513442378
picnicScene,demographics,4,-0.15794786600537192,5.047001821641591,3.914951175915643
picnicScene,linguistic,0,-7.350384167237323e-05,4.80753461348216,3.8247863247863245
picnicScene,linguistic,1,-0.010346915907780252,4.6119481046370545,3.6926936026936032
picnicScene,linguistic,2,-0.05133332041031413,4.722968627151913,3.80421768707483
picnicScene,linguistic,3,0.031794541926940534,4.395822681213784,3.561134020618556
picnicScene,linguistic,4,0.007409602517387315,4.692728204967555,3.6120341880341877
picnicScene,acoustic,0,0.060306415501321986,4.660708797567865,3.7385641025641023
picnicScene,acoustic,1,0.015855094434724437,4.55175288443778,3.64976430976431
picnicScene,acoustic,2,-0.005759827046204036,4.613952465217937,3.664545454545454
picnicScene,acoustic,3,-0.014326269775126965,4.473073012717427,3.6835871404399327
picnicScene,acoustic,4,0.056747644932770624,4.555152354462277,3.433333333333334
picnicScene,linguistic+acoustic,0,0.018373742367185253,4.775247437259783,3.838178694158075
picnicScene,linguistic+acoustic,1,0.029810449128350514,4.519365315033685,3.6286531986531987
picnicScene,linguistic+acoustic,2,-0.0026131791077310673,4.6122363132783875,3.6991836734693884
picnicScene,linguistic+acoustic,3,0.052082130378622526,4.349524259379687,3.56298969072165
picnicScene,linguistic+acoustic,4,0.0731571770745173,4.534646240250338,3.5119658119658115
picnicScene,full,0,0.047668628897553744,4.703453363170396,3.7811340206185564
picnicScene,full,1,0.02585781043265012,4.5285621059531405,3.657912457912458
picnicScene,full,2,0.002786956747554248,4.599798649837579,3.6790136054421763
picnicScene,full,3,0.05746231246823308,4.337163203135203,3.5625429553264603
