task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-5.039127322081782e-07,4.795068011346301,3.797362684991293
cookieTheft,baseline,1,-0.0007459464752037626,4.673063276950919,3.7745243454567
cookieTheft,baseline,2,-0.001500543626107742,4.7086194286297856,3.789070903921336
cookieTheft,baseline,3,-0.003629868009544568,4.4584244254303815,3.6063877041924846
cookieTheft,baseline,4,-8.55274810396267e-06,4.656953177120262,3.6165830470323423
cookieTheft,demographics,0,-0.2300216558646011,5.318033158230191,4.301539345301916
cookieTheft,demographics,1,-0.23401622315458526,5.189197217466295,4.043728768011376
cookieTheft,demographics,2,-0.2706364805804431,5.303696397863821,4.303228375589788
cookieTheft,demographics,3,-0.12486663460163161,4.720034121075712,3.8322023600780284
cookieTheft,demographics,4,-0.17560089724203598,5.049285977438105,3.943596239006565
cookieTheft,linguistic,0,-0.011558702829946643,4.822699559025341,3.7914711359404096
cookieTheft,linguistic,1,0.03145614746233272,4.597263389923238,3.6969202898550724
cookieTheft,linguistic,2,-0.009745955674153262,4.727962864727424,3.786521739130435
cookieTheft,linguistic,3,-0.05618293944609376,4.573663349541329,3.7132620320855616
cookieTheft,linguistic,4,0.024576519932132168,4.599351666136464,3.508478260869565
cookieTheft,acoustic,0,-0.024744674295801294,4.854030456205475,3.8893482309124763
cookieTheft,acoustic,1,0.03663152139713799,4.5849642947945695,3.691086956521739
cookieTheft,acoustic,2,-0.002936567252242561,4.711993998257376,3.7983333333333333
cookieTheft,acoustic,3,0.014413324400602279,4.418166032116044,3.6060606060606064
cookieTheft,acoustic,4,-0.01606274845932054,4.694185837430012,3.6523913043478258
cookieTheft,linguistic+acoustic,0,0.0012426805011845898,4.792086509013547,3.7213035381750466
cookieTheft,linguistic+acoustic,1,0.04566876393814412,4.563408125492039,3.7255072463768117
cookieTheft,linguistic+acoustic,2,0.005578250626343428,4.6919492153702524,3.756014492753623
cookieTheft,linguistic+acoustic,3,0.007813290517828864,4.4329345913186105,3.5873083778966133
cookieTheft,linguistic+acoustic,4,0.050065064880743804,4.538861638764219,3.424746376811594
cookieTheft,full,0,0.028560824279542762,4.72609523432118,3.6442458100558657
cookieTheft,full,1,0.04520325557751348,4.564520970575254,3.712028985507246
cookieTheft,full,2,0.027401220724927677,4.640180296971853,3.728079710144928
cookieTheft,full,3,0.011331062160771177,4.425069187517826,3.597504456327986
cookieTheft,full,4,0.07760822309024462,4.4725759634457045,3.3969565217391304
picnicScene,baseline,0,-5.039127322081782e-07,4.795068011346301,3.797362684991293
picnicScene,baseline,1,-0.0007459464752037626,4.673063276950919,3.7745243454567
picnicScene,baseline,2,-0.001500543626107742,4.7086194286297856,3.789070903921336
picnicScene,baseline,3,-0.003629868009544568,4.4584244254303815,3.6063877041924846
picnicScene,baseline,4,-8.55274810396267e-06,4.656953177120262,3.6165830470323423
picnicScene,demographics,0,-0.2300216558646011,5.318033158230191,4.301539345301916
picnicScene,demographics,1,-0.23401622315458526,5.189197217466295,4.043728768011376
picnicScene,demographics,2,-0.2706364805804431,5.303696397863821,4.303228375589788
picnicScene,demographics,3,-0.12486663460163161,4.720034121075712,3.8322023600780284
picnicScene,demographics,4,-0.17560089724203598,5.049285977438105,3.943596239006565
picnicScene,linguistic,0,0.009897630540186886,4.771277893544891,3.7911731843575427
picnicScene,linguistic,1,-0.017069252551503933,4.711020613135895,3.8122826086956523
picnicScene,linguistic,2,-0.03470186026239719,4.786032137709525,3.9227173913043476
picnicScene,linguistic,3,0.03885903168424343,4.363029659249022,3.544563279857397
picnicScene,linguistic,4,-0.010245806767548382,4.6807294840030504,3.6402173913043474
picnicScene,acoustic,0,0.01615916898780345,4.756166868126834,3.802979515828678
picnicScene,acoustic,1,0.021436681616238018,4.620981267479467,3.7048188405797107
picnicScene,acoustic,2,-0.005420691364613539,4.717825842093846,3.7710144927536233
picnicScene,acoustic,3,0.008555403724794908,4.431276458504186,3.651194295900178
picnicScene,acoustic,4,0.029227144042696662,4.588374171341291,3.5088768115942033
picnicScene,linguistic+acoustic,0,-0.017241782452025456,4.836227888160332,3.8591806331471132
picnicScene,linguistic+acoustic,1,0.03531256997271759,4.5881018672171345,3.6996376811594205
picnicScene,linguistic+acoustic,2,-0.01738053042769261,4.745803002155241,3.861702898550725
picnicScene,linguistic+acoustic,3,0.04956934456085238,4.338652213568521,3.577825311942959
picnicScene,linguistic+acoustic,4,0.031311472968727605,4.583445716672246,3.526485507246377
picnicScene,full,0,0.024650355364676413,4.735597984220834,3.777690875232775
picnicScene,full,1,0.022946357087209823,4.617415389503856,3.7259782608695646
picnicScene,full,2,-0.02001677539100144,4.751947706449527,3.8511956521739132
picnicScene,full,3,0.06386184587958521,4.305906485228928,3.5475579322638153
picnicScene,full,4,0.04814063029083615,4.54345686031527,3.4966304347826087
journaling,baseline,0,-5.039127322081782e-07,4.795068011346301,3.797362684991293
journaling,baseline,1,-0.0007459464752037626,4.673063276950919,3.7745243454567
journaling,baseline,2,-0.001500543626107742,4.7086194286297856,3.789070903921336
journaling,baseline,3,-0.003629868009544568,4.4584244254303815,3.6063877041924846
journaling,baseline,4,-8.55274810396267e-06,4.656953177120262,3.6165830470323423
journaling,demographics,0,-0.2300216558646011,5.318033158230191,4.301539345301916
journaling,demographics,1,-0.23401622315458526,5.189197217466295,4.043728768011376
journaling,demographics,2,-0.2706364805804431,5.303696397863821,4.303228375589788
journaling,demographics,3,-0.12486663460163161,4.720034121075712,3.8322023600780284
journaling,demographics,4,-0.17560089724203598,5.049285977438105,3.943596239006565
journaling,linguistic,0,-0.005630134297140321,4.808546292028626,3.848938547486033
journaling,linguistic,1,0.02287564639601014,4.617582470773655,3.6717028985507243
journaling,linguistic,2,-0.06248925084871404,4.849871904279813,3.9434057971014487
journaling,linguistic,3,-0.028966685789898472,4.514350525322365,3.6271657754010693
journaling,linguistic,4,0.015524402144996063,4.620643816110729,3.5929710144927536
journaling,acoustic,0,-0.031922857299711005,4.871001666139441,3.8461824953445065
journaling,acoustic,1,-0.08630128445996577,4.868721002778712,3.9809782608695654
journaling,acoustic,2,-0.03840252565413982,4.794583245957406,3.84804347826087
journaling,acoustic,3,-0.0910841964456457,4.648616863148072,3.8160071301247775
journaling,acoustic,4,-0.036838420102285996,4.741934545806698,3.6867753623188406
journaling,linguistic+acoustic,0,0.06422056958493438,4.6385411028689125,3.6993668528864063
journaling,linguistic+acoustic,1,0.013902306926434349,4.638736605443985,3.732463768115942
journaling,linguistic+acoustic,2,-0.010833245511822742,4.73050770426353,3.7903260869565214
journaling,linguistic+acoustic,3,-0.03082673286641824,4.5184289436523635,3.629661319073084
journaling,linguistic+acoustic,4,0.05947753522784993,4.516318907410099,3.476630434782609
journaling,full,0,0.05968475349497737,4.649769248661448,3.718435754189945
journaling,full,1,0.018766146469705203,4.627282385000012,3.728949275362319
journaling,full,2,-0.011204480616707757,4.731376279433348,3.777355072463768
journaling,full,3,0.007587939722033088,4.433437978741643,3.5593939393939387
journaling,full,4,0.06058947804248216,4.513648384525586,3.463043478260869
