task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.033525355959241665,2.3392083254992455,1.7740948911211734
cookieTheft,baseline,1,-1.8551950664580374e-06,2.6037021358330423,1.924265916772148
cookieTheft,baseline,2,-0.00024804047045612343,2.9287254468089317,2.0810145956607453
cookieTheft,baseline,3,-0.0003904077262220085,2.6794198828637903,1.8098100810870048
cookieTheft,baseline,4,-0.017875712276615552,3.0617515684274186,2.0690748049685177
cookieTheft,demographics,0,-0.42026401807657554,2.742160529256019,2.06695307117472
cookieTheft,demographics,1,-0.38734939736590923,3.0667884673129335,2.2104975107614697
cookieTheft,demographics,2,0.04546174699585004,2.861023827385921,2.0989952401824192
cookieTheft,demographics,3,-0.040520701028956774,2.7326334410664,2.0659385084051753
cookieTheft,demographics,4,-0.22218608667284911,3.354990083512707,2.301097860901985
cookieTheft,linguistic,0,-0.17302877749457202,2.500027044770974,1.834468085106383
cookieTheft,linguistic,1,0.19862299892990887,2.2917004224398148,1.7255042735042736
cookieTheft,linguistic,2,0.2860488943016857,2.3868717890259896,1.7966839378238342
cookieTheft,linguistic,3,0.25642257450608186,2.310037949392894,1.69791452991453
cookieTheft,linguistic,4,0.16709806445850517,2.738274892917027,1.8733333333333337
cookieTheft,acoustic,0,-0.42993476074715886,2.7469968370998625,1.9844677137870854
cookieTheft,acoustic,1,0.026167608872041392,2.5756119410245595,1.9836734693877554
cookieTheft,acoustic,2,0.09884187806260802,2.786863925342144,2.0693814432989694
cookieTheft,acoustic,3,0.10661633551495242,2.532065989787426,1.8716581196581197
cookieTheft,acoustic,4,0.03557815495452288,2.9872765692338965,2.063903281519862
cookieTheft,linguistic+acoustic,0,-0.14761643045441475,2.4793334258389836,1.8347593582887698
cookieTheft,linguistic+acoustic,1,0.22254859607125888,2.262758051075954,1.7028522336769758
cookieTheft,linguistic+acoustic,2,0.30021632864751757,2.3690008051528424,1.7815277777777778
cookieTheft,linguistic+acoustic,3,0.2773750064129342,2.277259411518685,1.6935384615384617
cookieTheft,linguistic+acoustic,4,0.14598153396653735,2.7727693160532736,1.8697033158813263
cookieTheft,full,0,-0.14153901808785552,2.4727598299209306,1.8256684491978612
cookieTheft,full,1,0.2266039208513766,2.2568488609595025,1.7058419243986254
cookieTheft,full,2,0.2937422359324051,2.3799340560425435,1.7837500000000002
cookieTheft,full,3,0.28103913966515925,2.2714785525764523,1.7005128205128206
cookieTheft,full,4,0.14539277235447234,2.7737249270454565,1.869493891797557
picnicScene,baseline,0,-0.03398257755190537,2.3451468199979453,1.781624063741849
picnicScene,baseline,1,-6.429871657331887e-08,2.603699804355998,1.923577340937748
picnicScene,baseline,2,-0.0003254590346792874,2.9288387853623465,2.083182252065438
picnicScene,baseline,3,-0.0003274432204174449,2.67933556028224,1.8105184600024133
picnicScene,baseline,4,-0.017204518452290873,3.060741932572026,2.0704225922988804
picnicScene,demographics,0,-0.4184737330512185,2.7467812603841,2.0692688901963514
picnicScene,demographics,1,-0.385876267833863,3.065159830509755,2.2189695429593908
picnicScene,demographics,2,0.023165105987166035,2.8942456450769307,2.1290518384525927
picnicScene,demographics,3,-0.07178283153023535,2.773380223417136,2.1074503144528784
picnicScene,demographics,4,-0.20291784056779294,3.328438647794991,2.299407737642274
