task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.005200259308209443,5.9452613314667415,4.726525585384902
cookieTheft,baseline,1,-0.0015627851659878456,5.581037471701527,4.41970452305053
cookieTheft,baseline,2,-0.007615407835245502,5.292341258245138,4.328313041697071
cookieTheft,baseline,3,-0.016593213321232314,5.961989678708953,4.632182783953394
cookieTheft,baseline,4,-0.00026656760288656933,5.65254341800836,4.510430265658729
cookieTheft,demographics,0,-0.13236430795903376,6.310121758325365,4.85384624643968
cookieTheft,demographics,1,-0.10329509586164498,5.857626721331721,4.64146195910887
cookieTheft,demographics,2,-0.11756031331246786,5.573601646845175,4.38252348754874
cookieTheft,demographics,3,-0.058204800085839725,6.082785197512616,4.678727497920391
cookieTheft,demographics,4,-0.13259487670039038,6.014829576287065,4.644194760077413
cookieTheft,linguistic,0,0.12725990627181172,5.30804287972158,4.113715277777778
cookieTheft,linguistic,1,0.12477211443364278,5.216875655981971,4.083775510204082
cookieTheft,linguistic,2,0.08567995188554911,4.979876511323067,4.014557823129252
cookieTheft,linguistic,3,0.10829416672439374,5.583781566471266,4.3403722504230124
cookieTheft,linguistic,4,0.11370483031776057,5.337523592627188,4.1042708333333335
cookieTheft,acoustic,0,0.07385047592143368,5.623247218320614,4.4238144329896905
cookieTheft,acoustic,1,-4.292811588046952e-05,5.587861935949064,4.456615905245347
cookieTheft,acoustic,2,0.08811252746856069,5.045814513637513,4.1602707275803725
cookieTheft,acoustic,3,0.02400256979275106,5.8417363696718425,4.4726903553299495
cookieTheft,acoustic,4,0.046352348425484635,5.525678857625263,4.273162393162393
cookieTheft,linguistic+acoustic,0,0.12612508037711923,5.303376040495392,4.1512280701754385
cookieTheft,linguistic+acoustic,1,0.18008785454839515,5.059420189070349,4.026871794871795
cookieTheft,linguistic+acoustic,2,0.1313541288217348,4.864879592270856,3.965846153846154
cookieTheft,linguistic+acoustic,3,0.10966956300585828,5.579473600862232,4.235634517766498
cookieTheft,linguistic+acoustic,4,0.12763792960662534,5.2954028367730155,4.114652777777778
cookieTheft,full,0,0.1473914263386018,5.238447942101292,4.123333333333333
cookieTheft,full,1,0.18467316966882985,5.045253084777679,4.045606837606838
cookieTheft,full,2,0.1629481042625056,4.775588613949762,3.9233846153846152
cookieTheft,full,3,0.14098226797147684,5.480481059654714,4.12653130287648
cookieTheft,full,4,0.1587874768205959,5.200001647079511,4.073819444444445
picnicScene,baseline,0,-0.004947710651188375,5.9580561675815495,4.73878481403563
picnicScene,baseline,1,-0.0013419132865672978,5.580422052367907,4.420194585448393
picnicScene,baseline,2,-0.007310198237714616,5.291539664864803,4.3277485515048975
picnicScene,baseline,3,-0.014642723355841936,5.956267436932899,4.6305423344249075
picnicScene,baseline,4,-0.00013463311682504475,5.652170622381644,4.509340566606388
picnicScene,demographics,0,-0.13273710169438102,6.325537333476129,4.872383537030745
picnicScene,demographics,1,-0.10177779808681864,5.8535975083709335,4.615623426891104
picnicScene,demographics,2,-0.12207649749398497,5.584852060999398,4.422346414341363
picnicScene,demographics,3,-0.048568286401876604,6.055025494444395,4.6526551483861125
picnicScene,demographics,4,-0.1441358343484913,6.04539697217675,4.597102709737464
picnicScene,linguistic,0,0.1479034043135644,5.49993197236841,4.1788435374149655
picnicScene,linguistic,1,0.14887716802545892,5.144841139230995,4.046127946127947
picnicScene,linguistic,2,0.04381591431656595,5.0832809186547205,4.104455782312925
picnicScene,linguistic,3,0.12066320038834899,5.555864305280877,4.292542955326461
picnicScene,linguistic,4,0.1620635290302972,5.165997340527458,4.139725085910654
picnicScene,acoustic,0,0.1131471313589072,5.597210513539742,4.296938775510204
picnicScene,acoustic,1,0.019346273847213658,5.522474132010085,4.48986531986532
picnicScene,acoustic,2,0.09330718643812741,5.020309906773176,4.063973063973063
picnicScene,acoustic,3,0.01235026370180825,5.876504768230189,4.5411505922165825
picnicScene,acoustic,4,0.0859733960352076,5.403379223178627,4.283401360544217
picnicScene,linguistic+acoustic,0,0.16010151083272095,5.460634382857716,4.240649572649573
picnicScene,linguistic+acoustic,1,0.17121186857170967,5.076888324724939,4.121683501683502
picnicScene,linguistic+acoustic,2,0.11316646054085866,4.895470186271305,4.014319727891156
picnicScene,linguistic+acoustic,3,0.12984347437901667,5.526786608657902,4.282714776632303
picnicScene,linguistic+acoustic,4,0.22523313430768854,4.967457396867206,3.987560137457045
picnicScene,full,0,0.18260431531040355,5.386986281454706,4.188581196581197
picnicScene,full,1,0.16034903430061842,5.110051119772591,4.087037037037037
picnicScene,full,2,0.12157287697321373,4.872212523616293,4.005646258503401
picnicScene,full,3,0.15077408348227805,5.459911780900119,4.220859106529209
picnicScene,full,4,0.23394337178604074,4.939455405424408,3.9642955326460476
journaling,baseline,0,-0.004817961424065764,5.94892988639773,4.724526984044557
journaling,baseline,1,-0.000776919656093833,5.612341557704315,4.450849816849817
journaling,baseline,2,-0.005876091758515889,5.315931392460498,4.352953689167976
journaling,baseline,3,-0.015266297805579754,5.958097443505145,4.631078063536163
journaling,baseline,4,-0.0003481634513646803,5.667237594993266,4.532763125763126
journaling,demographics,0,-0.1469254185252935,6.355690559707695,4.888670430997842
journaling,demographics,1,-0.07469448574797566,5.815913831491847,4.567780092462144
journaling,demographics,2,-0.08341943746928449,5.517031148049226,4.372307164819985
journaling,demographics,3,-0.06033853937421019,6.088914701777154,4.665965826052121
journaling,demographics,4,-0.13008827544012336,6.023543007843188,4.59887499812628
journaling,linguistic,0,0.049157841540418246,5.779662879289443,4.568500881834216
journaling,linguistic,1,0.07111805967694096,5.331131659921157,4.247553191489361
journaling,linguistic,2,0.05180756591016489,5.164516573899283,4.237340425531915
journaling,linguistic,3,0.04202109679288779,5.806255630304649,4.415298245614034
journaling,linguistic,4,0.09275412880772071,5.406831264935626,4.22978947368421
journaling,acoustic,0,0.08716488291378155,5.670107922947149,4.201421319796955
journaling,acoustic,1,-0.03361088830961645,5.698013046407437,4.655440414507772
journaling,acoustic,2,-0.022226971307040433,5.3589634155206625,4.3716923076923075
journaling,acoustic,3,-0.007261775020638517,5.934563666427845,4.551979695431472
journaling,acoustic,4,0.013845922053990822,5.639249684031957,4.3929553264604815
journaling,linguistic+acoustic,0,0.14672086168812337,5.4751227024334295,4.277213403880071
journaling,linguistic+acoustic,1,0.14154337560890629,5.1041563341595735,4.091871657754011
journaling,linguistic+acoustic,2,0.07063100734597005,5.112996812694038,4.121595744680851
journaling,linguistic+acoustic,3,0.12647206861902127,5.544425829405402,4.205543859649122
journaling,linguistic+acoustic,4,0.1693739461030198,5.18528315856042,4.106172839506173
journaling,full,0,0.13426433209130062,5.514941982252151,4.317001763668429
journaling,full,1,0.1589586649638336,5.052117703082458,4.076327985739751
journaling,full,2,0.0903773652340063,5.058387108737723,4.07677304964539
journaling,full,3,0.12939898778005088,5.535129216070434,4.162421052631578
journaling,full,4,0.18487111357110741,5.136683942805658,4.080564373897707
