task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.01366838581582197,5.783141453687187,4.653321314952279
cookieTheft,baseline,1,-0.0002687038656032925,5.571827389010216,4.414401296970622
cookieTheft,baseline,2,-0.0023654817542615447,5.185529890258463,4.249405903412362
cookieTheft,baseline,3,-0.01637234849203928,6.15495476079898,4.832499484004128
cookieTheft,baseline,4,-0.00010409415188972204,5.799362114810567,4.609497076023392
cookieTheft,demographics,0,-0.13197660421816804,6.032658772734984,4.6738179337732415
cookieTheft,demographics,1,-0.14190523758480933,5.896857659105494,4.608863107403868
cookieTheft,demographics,2,-0.09224704172048259,5.445896157310188,4.282776876505137
cookieTheft,demographics,3,-0.029930332754570133,6.032862264567942,4.546638632807081
cookieTheft,demographics,4,-0.05867863241709803,5.8657136964743195,4.470083830660334
cookieTheft,linguistic,0,0.09624863866464228,5.390319621677005,4.23366852886406
cookieTheft,linguistic,1,0.11476408256803627,5.19200528125499,4.102608695652174
cookieTheft,linguistic,2,0.07630349307462225,5.008106640797884,4.04518115942029
cookieTheft,linguistic,3,0.11678433600976257,5.5866680492980905,4.2790374331550804
cookieTheft,linguistic,4,0.12334249951150555,5.337695119850061,4.105355191256831
cookieTheft,acoustic,0,0.055457112877470904,5.5106252313798345,4.383761638733706
cookieTheft,acoustic,1,-0.027247805415127058,5.592979445887997,4.477644927536232
cookieTheft,acoustic,2,0.04772595412798364,5.084987518925965,4.218333333333334
cookieTheft,acoustic,3,0.019442698714044138,5.886484090651647,4.475401069518717
cookieTheft,acoustic,4,0.05169804963594149,5.551522565292957,4.304590163934426
cookieTheft,linguistic+acoustic,0,0.12469346684149041,5.304813503474165,4.109199255121043
cookieTheft,linguistic+acoustic,1,0.16199351515958837,5.05160404046502,4.073840579710145
cookieTheft,linguistic+acoustic,2,0.1197621818143142,4.888874953317863,4.006702898550725
cookieTheft,linguistic+acoustic,3,0.15214976743316155,5.473675629412014,4.139001782531194
cookieTheft,linguistic+acoustic,4,0.1517819274798522,5.25040189863084,4.045027322404372
cookieTheft,full,0,0.12505829224842413,5.303707872261562,4.158994413407822
cookieTheft,full,1,0.15791770631123947,5.063873872741482,4.078514492753624
cookieTheft,full,2,0.14305741568269703,4.8237498693373775,3.986739130434783
cookieTheft,full,3,0.16888422125940528,5.419388050778407,4.073582887700535
cookieTheft,full,4,0.15486760494362561,5.240843149303758,4.046265938069216
picnicScene,baseline,0,-0.013834402244600419,5.783615009535077,4.6540155071594125
picnicScene,baseline,1,-0.0002520565805854691,5.571781023376567,4.414617270975652
picnicScene,baseline,2,-0.002408479348236625,5.185641108632295,4.249573299112822
picnicScene,baseline,3,-0.016782032515786804,6.138959932196098,4.816306726856127
picnicScene,baseline,4,-0.00011206553256237761,5.799385226820221,4.609601717475312
picnicScene,demographics,0,-0.13197660421816804,6.032658772734984,4.6738179337732415
picnicScene,demographics,1,-0.14190523758480933,5.896857659105494,4.608863107403868
picnicScene,demographics,2,-0.09224704172048259,5.445896157310188,4.282776876505137
picnicScene,demographics,3,-0.029930332754570133,6.032862264567942,4.546638632807081
picnicScene,demographics,4,-0.05867863241709803,5.8657136964743195,4.470083830660334
picnicScene,linguistic,0,0.14843474335792173,5.232376693216426,4.007299813780261
picnicScene,linguistic,1,0.12350665792410787,5.166303587055564,4.139420289855073
picnicScene,linguistic,2,0.07610042124204774,5.008657118955709,4.054239130434783
picnicScene,linguistic,3,0.12241285822621206,5.568838348043774,4.311372549019608
picnicScene,linguistic,4,0.15690498484901383,5.234522227559997,4.1844808743169395
picnicScene,acoustic,0,0.10313201421544316,5.369752839913852,4.218547486033519
picnicScene,acoustic,1,-0.011048012598251278,5.548703291090666,4.566231884057971
picnicScene,acoustic,2,0.09226605286097012,4.9646450753943805,4.057355072463768
picnicScene,acoustic,3,-0.003612061717385595,5.95528323886779,4.598003565062388
picnicScene,acoustic,4,0.05952760235873911,5.528557290965699,4.34200364298725
picnicScene,linguistic+acoustic,0,0.16815570397465474,5.17143483949987,4.044320297951583
picnicScene,linguistic+acoustic,1,0.13924110589057925,5.119721908019901,4.151268115942028
picnicScene,linguistic+acoustic,2,0.08487955068804154,4.984803549300692,4.099166666666667
picnicScene,linguistic+acoustic,3,0.1442645539725006,5.499069980246932,4.261639928698752
picnicScene,linguistic+acoustic,4,0.21222117646626437,5.059888405286488,4.051475409836066
picnicScene,full,0,0.17643799524627435,5.145625636457131,4.007560521415271
picnicScene,full,1,0.15242213798671966,5.08037084024347,4.135398550724638
picnicScene,full,2,0.12741811800095448,4.86756783893832,4.009818840579711
picnicScene,full,3,0.15660194613440892,5.4592851995547225,4.216577540106952
picnicScene,full,4,0.20435797330216754,5.085078305413975,4.079162112932606
journaling,baseline,0,-0.013148180600509152,5.750134946329822,4.614554794718442
journaling,baseline,1,-0.00029371419195167725,5.571897046468129,4.414089035264596
journaling,baseline,2,-0.0022744005581960547,5.185294290069285,4.249046210944813
journaling,baseline,3,-0.016163187757807673,6.088934337311669,4.756337900918537
journaling,baseline,4,-0.00020175485527373915,5.790772459785232,4.60636003051106
journaling,demographics,0,-0.13197660421816804,6.032658772734984,4.6738179337732415
journaling,demographics,1,-0.14190523758480933,5.896857659105494,4.608863107403868
journaling,demographics,2,-0.09224704172048259,5.445896157310188,4.282776876505137
journaling,demographics,3,-0.029930332754570133,6.032862264567942,4.546638632807081
journaling,demographics,4,-0.05867863241709803,5.8657136964743195,4.470083830660334
journaling,linguistic,0,0.015450935967944779,5.626116453103845,4.464283054003724
journaling,linguistic,1,0.051764031612885786,5.373581309234701,4.271992753623188
journaling,linguistic,2,0.05732918444000634,5.059282710611626,4.1080434782608695
journaling,linguistic,3,0.04830132684933541,5.799215100454789,4.435365418894831
journaling,linguistic,4,0.05720588631278234,5.53537717646518,4.363242258652095
journaling,acoustic,0,0.09130293326188499,5.405048540084575,4.143351955307263
journaling,acoustic,1,-0.003491255156406803,5.527928388694213,4.454565217391305
journaling,acoustic,2,-0.026639746239497386,5.279805867643241,4.399963768115941
journaling,acoustic,3,-0.014545728206199149,5.98763473309534,4.566167557932263
journaling,acoustic,4,0.004559886730529206,5.687826709525847,4.426484517304189
journaling,linguistic+acoustic,0,0.141625685952952,5.253253905760324,4.155716945996276
journaling,linguistic+acoustic,1,0.162083608004011,5.051332487906695,4.0257971014492755
journaling,linguistic+acoustic,2,0.05163831605675273,5.074531081832399,4.082028985507247
journaling,linguistic+acoustic,3,0.1061359329747138,5.620244706813771,4.194866310160428
journaling,linguistic+acoustic,4,0.1421415729951665,5.280154111750648,4.185537340619308
journaling,full,0,0.1564727493473228,5.207623690947503,4.10145251396648
journaling,full,1,0.15613709159899603,5.069224921459672,4.044384057971015
journaling,full,2,0.06631314707405278,5.035116681865476,4.076739130434783
journaling,full,3,0.11607123790656915,5.588922899811345,4.162602495543672
journaling,full,4,0.15780953382005147,5.231713438340325,4.120218579234972
