task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,-2.7609029969066903,3.474601391765211,1.553888981340478,-5.806525400334027,0.2847194065206464
cookieTheft,baseline,-0.02131757542788746,0.03798678802725328,0.016988208055162695,-0.05461446321600634,0.01197931236023142
cookieTheft,demographics,-0.020373925624298295,0.023394664919522263,0.010462412214176285,-0.04088025356408381,0.00013240231548722337
cookieTheft,full,-3.8005808693486403,4.421461348678949,1.9773376271068057,-7.67616261847798,0.07500087978069869
cookieTheft,linguistic,-0.1547297243141246,0.24327959840708,0.10879794391541608,-0.36797369438834016,0.05851424576009093
cookieTheft,linguistic+acoustic,-3.0975962468745593,3.6985112700244938,1.6540245230647697,-6.339484312081508,0.14429181833238935
journaling,acoustic,-0.6973122996372612,0.4655132906954932,0.2081838724849486,-1.1053526897077603,-0.2892719095667619
journaling,baseline,-0.02131757542788746,0.03798678802725328,0.016988208055162695,-0.05461446321600634,0.01197931236023142
journaling,demographics,-0.020373925624298295,0.023394664919522263,0.010462412214176285,-0.04088025356408381,0.00013240231548722337
journaling,full,-1.0604005217478323,0.6030910222544434,0.2697105044761548,-1.5890331105210955,-0.5317679329745689
journaling,linguistic,-0.11097367976142294,0.14403189741638886,0.06441302271026436,-0.2372232042735411,0.015275844750695211
journaling,linguistic+acoustic,-0.9695598076534082,0.5601138148596423,0.2504905130325784,-1.460521213197262,-0.4785984021095545
picnicScene,acoustic,-6.37616706737405,12.71062195237829,5.68436294436379,-17.51751843832708,4.7651843035789785
picnicScene,baseline,-0.02131757542788746,0.03798678802725328,0.016988208055162695,-0.05461446321600634,0.01197931236023142
picnicScene,demographics,-0.020373925624298295,0.023394664919522263,0.010462412214176285,-0.04088025356408381,0.00013240231548722337
picnicScene,full,-7.985320637994574,15.038245697098693,6.7253079282112775,-21.166924177288678,5.196282901299529
picnicScene,linguistic,-0.09392537612288358,0.20187695685972254,0.0902821197258264,-0.27087833078550333,0.08302757853973618
picnicScene,linguistic+acoustic,-7.724421203346222,14.666133267483136,6.55889419063268,-20.579853816986276,5.131011410293831
