task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.08791677113717955,1.6799127845941537,1.3634423897581796
cookieTheft,baseline,1,-4.113997217114473e-06,2.0497156956435174,1.534645232815964
cookieTheft,baseline,2,-5.129113424873211e-06,2.5873028125293414,1.6551686014372573
cookieTheft,baseline,3,-0.0009437950031496722,2.0049270333808984,1.5060918462980313
cookieTheft,baseline,4,-0.017718067888466082,2.997532828769686,1.7608359133126934
cookieTheft,demographics,0,-0.05549013258912172,1.6546875075136194,1.3384623117562244
cookieTheft,demographics,1,-0.012867383108813524,2.0628565403524934,1.5467374891385128
cookieTheft,demographics,2,0.002241485621858441,2.5843948569506225,1.6755317846303024
cookieTheft,demographics,3,-0.004168824951162886,2.0081543623415126,1.5131284539670915
cookieTheft,demographics,4,-0.031584773094251783,3.0178848667969307,1.7838896168337377
cookieTheft,linguistic,0,-0.5261921275058756,1.9897270484657146,1.6139472942206068
cookieTheft,linguistic,1,-0.16855973571699434,2.215736910605284,1.733489833588088
cookieTheft,linguistic,2,-0.06141732993701998,2.6655647337705646,1.849092419566761
cookieTheft,linguistic,3,-0.1624129011257709,2.160597834793253,1.666419735899928
cookieTheft,linguistic,4,0.14493347271503787,2.7475788119840754,1.7568917705722498
cookieTheft,acoustic,0,-8.84272311918552,5.052967832183454,2.793056674478674
cookieTheft,acoustic,1,-1.4050427414491864,3.178733602105094,2.32748014576531
cookieTheft,acoustic,2,-0.03649287588210015,2.6340821028250785,1.7760811940316263
cookieTheft,acoustic,3,-1.6204587026031918,3.2440115047015814,2.0915143317311657
cookieTheft,acoustic,4,-1.899797545413453,5.059808085789481,2.6895046384708587
cookieTheft,linguistic+acoustic,0,-9.204497523471245,5.144992092370321,3.0629883690321686
cookieTheft,linguistic+acoustic,1,-2.164390552279766,3.646177216300403,2.7780488170955366
cookieTheft,linguistic+acoustic,2,-0.21862807471573187,2.8561547636223032,2.1040124867859644
cookieTheft,linguistic+acoustic,3,-3.627951485701402,4.311100276307783,2.549711418202304
cookieTheft,linguistic+acoustic,4,-0.2725135982046514,3.3518256627728946,2.3441150540354685
cookieTheft,full,0,-10.784888332037404,5.529064230986854,3.221290465112344
cookieTheft,full,1,-2.501857495067427,3.835676465311129,2.838767481831334
cookieTheft,full,2,-0.18966456874039683,2.822009104292433,2.091422831870097
cookieTheft,full,3,-5.267164800609068,5.016828828122467,2.798115152551944
cookieTheft,full,4,-0.2593291502889057,3.334416404638025,2.3177309949929783
picnicScene,baseline,0,-0.08791677113717955,1.6799127845941537,1.3634423897581796
picnicScene,baseline,1,-4.113997217114473e-06,2.0497156956435174,1.534645232815964
picnicScene,baseline,2,-5.129113424873211e-06,2.5873028125293414,1.6551686014372573
picnicScene,baseline,3,-0.0009437950031496722,2.0049270333808984,1.5060918462980313
picnicScene,baseline,4,-0.017718067888466082,2.997532828769686,1.7608359133126934
