task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.008978906250330487,6.163932391302759,4.815966255272613
cookieTheft,baseline,1,-0.0026367592886396007,5.594716147438533,4.372721409416477
cookieTheft,baseline,2,-0.007857710208153179,5.150263499248108,4.16712368307115
cookieTheft,baseline,3,-0.016410430032921752,5.747123036132721,4.46583850931677
cookieTheft,baseline,4,-0.000679399560994165,5.818272695944176,4.552042709477111
cookieTheft,demographics,0,0.014293896942107032,6.092429969685964,4.638646906311363
cookieTheft,demographics,1,0.05855662684883289,5.421298831928417,4.208273876721562
cookieTheft,demographics,2,0.09091819673928914,4.891379062246326,4.089565365368724
cookieTheft,demographics,3,0.07031778043626857,5.496461632537562,4.1951914492738664
cookieTheft,demographics,4,0.044876069942272556,5.684292999390305,4.342962126325638
cookieTheft,linguistic,0,0.013218607757127465,6.095752125440152,4.726465350799051
cookieTheft,linguistic,1,-0.02532845444890386,5.657671800741242,4.54124100106355
cookieTheft,linguistic,2,-0.062445165272263514,5.287898375112879,4.280845954944209
cookieTheft,linguistic,3,0.11729047819589711,5.355806079944767,4.126110746425941
cookieTheft,linguistic,4,0.01920058527994628,5.760188445176368,4.6073179523185
cookieTheft,acoustic,0,-0.33952856609562154,7.102198607661582,5.330899738855175
cookieTheft,acoustic,1,-1.3024516377036939,8.478157964066206,5.318148772696837
cookieTheft,acoustic,2,-0.2292348177338519,5.687838601752707,4.624969969982735
cookieTheft,acoustic,3,-0.8619762459863265,7.778628067768869,5.7351334489140875
cookieTheft,acoustic,4,-0.3914642147601928,6.860924078126845,5.472695278239687
cookieTheft,linguistic+acoustic,0,-0.4345385786907703,7.349756299040601,5.419540885605935
cookieTheft,linguistic+acoustic,1,-0.7148932128493548,7.316860691579351,5.477656956780454
cookieTheft,linguistic+acoustic,2,-1.0243268946732678,7.299114230361555,5.496728528080168
cookieTheft,linguistic+acoustic,3,-1.570630185596861,9.139779949275974,6.152886740044838
cookieTheft,linguistic+acoustic,4,-1.5246887332033374,9.241671210096587,6.339846202534199
cookieTheft,full,0,-0.4099436611671856,7.286478751140211,5.36260020443668
cookieTheft,full,1,-0.4938741672533693,6.829096573370936,5.515558183376073
cookieTheft,full,2,-0.9120940256709402,7.093890166876786,5.506480752622579
cookieTheft,full,3,-2.201203088727355,10.19935132996609,6.533306422941046
cookieTheft,full,4,-0.7992421489547166,7.801738703510162,5.9603047519841645
picnicScene,baseline,0,-0.008978906250330487,6.163932391302759,4.815966255272613
picnicScene,baseline,1,-0.0026367592886396007,5.594716147438533,4.372721409416477
picnicScene,baseline,2,-0.007857710208153179,5.150263499248108,4.16712368307115
