target,task,model,fold,r2,rmse,mae,estimator
PictureNamingScore,cookieTheft,baseline,0,-0.036173173867841024,2.3438762178105077,1.7768462117582653,DummyRegressor
PictureNamingScore,cookieTheft,baseline,1,-1.418990660972952e-06,2.6234116117721613,1.9445474100028408,DummyRegressor
PictureNamingScore,cookieTheft,baseline,2,-0.00022937397203648402,2.9137713184893426,2.060194374101704,DummyRegressor
PictureNamingScore,cookieTheft,baseline,3,-0.00022805227569988595,2.679202449714539,1.8117935293327962,DummyRegressor
PictureNamingScore,cookieTheft,baseline,4,-0.020465952072139526,3.078189040261049,2.0778182264397906,DummyRegressor
PictureNamingScore,cookieTheft,demographics,0,-0.08841709823205557,2.4022388046896195,1.819872664293598,LinearRegression
PictureNamingScore,cookieTheft,demographics,1,0.02622142567573038,2.5887865031679804,1.9221774593582037,LinearRegression
PictureNamingScore,cookieTheft,demographics,2,0.0040386286111275815,2.9075481069056974,2.0699456609759044,LinearRegression
PictureNamingScore,cookieTheft,demographics,3,0.017619706329799922,2.655191428228623,1.7845642211360049,LinearRegression
PictureNamingScore,cookieTheft,demographics,4,-0.019979118707700305,3.077454697338363,2.0457685125325393,LinearRegression
PictureNamingScore,cookieTheft,acoustic,0,-0.08448722127479602,2.397898079102248,1.7764333844236107,LinearRegression
PictureNamingScore,cookieTheft,acoustic,1,0.09325111810017672,2.498098983883159,1.887482909228263,LinearRegression
PictureNamingScore,cookieTheft,acoustic,2,0.18161860431964505,2.635624499029182,1.8941083810907986,LinearRegression
PictureNamingScore,cookieTheft,acoustic,3,0.2389306650336166,2.3370506683018304,1.6973959854427256,LinearRegression
PictureNamingScore,cookieTheft,acoustic,4,0.07997786602430923,2.922773532800738,2.0091070675730673,LinearRegression
PictureNamingScore,cookieTheft,linguistic,0,-0.20281890797983237,2.5253328230570093,1.8782007449689426,LinearRegression
PictureNamingScore,cookieTheft,linguistic,1,0.09342710467283077,2.49785655005132,1.8186225043335607,LinearRegression
PictureNamingScore,cookieTheft,linguistic,2,0.3241290764346382,2.3951766182068983,1.7536307577354562,LinearRegression
PictureNamingScore,cookieTheft,linguistic,3,0.3083359488756171,2.22794065442399,1.6578186593562807,LinearRegression
PictureNamingScore,cookieTheft,linguistic,4,0.3034363501805255,2.5431760883968626,1.7663651475362903,LinearRegression
PictureNamingScore,cookieTheft,linguistic+acoustic,0,-0.26650966374262697,2.5913301868189595,1.8991397007022501,LinearRegression
PictureNamingScore,cookieTheft,linguistic+acoustic,1,0.0763854936348225,2.5212243973150823,1.8416852456251471,LinearRegression
PictureNamingScore,cookieTheft,linguistic+acoustic,2,0.3327284521616236,2.379890445115698,1.7664358226518995,LinearRegression
PictureNamingScore,cookieTheft,linguistic+acoustic,3,0.3475886096380614,2.1637983421500566,1.6231802341098076,LinearRegression
PictureNamingScore,cookieTheft,linguistic+acoustic,4,0.2701441656137761,2.6032421657316576,1.8795300425243635,LinearRegression
PictureNamingScore,cookieTheft,full,0,-0.30352866053265526,2.6289286083025427,1.9344147478746108,LinearRegression
PictureNamingScore,cookieTheft,full,1,0.07871685220234259,2.518040389303049,1.8316669515473445,LinearRegression
PictureNamingScore,cookieTheft,full,2,0.3385337740748584,2.3695151999812207,1.7482657894510447,LinearRegression
PictureNamingScore,cookieTheft,full,3,0.3326791839636416,2.1883831010827324,1.6526440279313523,LinearRegression
PictureNamingScore,cookieTheft,full,4,0.26550740094150216,2.611498255681636,1.896006743472187,LinearRegression
PictureNamingScore,picnicScene,baseline,0,-0.036173173867841024,2.3438762178105077,1.7768462117582653,DummyRegressor
PictureNamingScore,picnicScene,baseline,1,-1.418990660972952e-06,2.6234116117721613,1.9445474100028408,DummyRegressor
PictureNamingScore,picnicScene,baseline,2,-0.00022937397203648402,2.9137713184893426,2.060194374101704,DummyRegressor
PictureNamingScore,picnicScene,baseline,3,-0.00022805227569988595,2.679202449714539,1.8117935293327962,DummyRegressor
PictureNamingScore,picnicScene,baseline,4,-0.020465952072139526,3.078189040261049,2.0778182264397906,DummyRegressor
PictureNamingScore,picnicScene,demographics,0,-0.08841709823205557,2.4022388046896195,1.819872664293598,LinearRegression
PictureNamingScore,picnicScene,demographics,1,0.02622142567573038,2.5887865031679804,1.9221774593582037,LinearRegression
PictureNamingScore,picnicScene,demographics,2,0.0040386286111275815,2.9075481069056974,2.0699456609759044,LinearRegression
PictureNamingScore,picnicScene,demographics,3,0.017619706329799922,2.655191428228623,1.7845642211360049,LinearRegression
PictureNamingScore,picnicScene,demographics,4,-0.019979118707700305,3.077454697338363,2.0457685125325393,LinearRegression
PictureNamingScore,picnicScene,acoustic,0,-0.052568573428208865,2.3623470506865267,1.7737798478673683,LinearRegression
