target,task,model,metric,estimate,ci_low,ci_high,n_subjects
PhonemicFluencyScore,cookieTheft,acoustic,r2,0.031652922288155395,-0.0019800268758514345,0.063263668182517,970
PhonemicFluencyScore,cookieTheft,acoustic,rmse,4.568404344802684,4.364265444106303,4.806135268869482,970
PhonemicFluencyScore,cookieTheft,acoustic,mae,3.6697760243331996,3.5002604598789566,3.837403613342753,970
PhonemicFluencyScore,cookieTheft,baseline,r2,-0.002177887105586847,-0.006090242989277416,-0.00015999045774508513,970
PhonemicFluencyScore,cookieTheft,baseline,rmse,4.64788607035254,4.432228909971121,4.882148769981606,970
PhonemicFluencyScore,cookieTheft,baseline,mae,3.710294012139301,3.541223303623719,3.8752404006172188,970
PhonemicFluencyScore,cookieTheft,demographics,r2,-0.02130144186436697,-0.05788247269269334,0.014280244458496337,970
PhonemicFluencyScore,cookieTheft,demographics,rmse,4.6915215726533415,4.479859564808046,4.915343377360653,970
PhonemicFluencyScore,cookieTheft,demographics,mae,3.7416513983216704,3.5680708512254533,3.918212474754683,970
PhonemicFluencyScore,cookieTheft,full,r2,0.04676012356576583,0.0186078471508606,0.07504781533026733,970
PhonemicFluencyScore,cookieTheft,full,rmse,4.5327528225068425,4.3315373172269425,4.7607662778008955,970
PhonemicFluencyScore,cookieTheft,full,mae,3.614439605864236,3.448926656271848,3.780775870987013,970
PhonemicFluencyScore,cookieTheft,linguistic,r2,0.014482634641795417,-0.013092194639541315,0.04304162325210539,970
PhonemicFluencyScore,cookieTheft,linguistic,rmse,4.6089427524606235,4.40069321568181,4.848707434754038,970
PhonemicFluencyScore,cookieTheft,linguistic,mae,3.6617702549443005,3.488488500025293,3.832029692231084,970
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,r2,0.04389254403135058,0.015432088730743055,0.07312095555377589,970
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,rmse,4.539563036165125,4.3382777605754494,4.769926174620701,970
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,mae,3.621545637392864,3.4557076680851435,3.788144130404415,970
PhonemicFluencyScore,journaling,acoustic,r2,-0.0016284677756691443,-0.030006052504337306,0.028293553437797575,970
PhonemicFluencyScore,journaling,acoustic,rmse,4.646271309101001,4.433284140826465,4.865279433604906,970
PhonemicFluencyScore,journaling,acoustic,mae,3.730673668319981,3.5533580754828438,3.89819775015564,970
PhonemicFluencyScore,journaling,baseline,r2,-0.002177887105586847,-0.006090242989277416,-0.00015999045774508513,970
PhonemicFluencyScore,journaling,baseline,rmse,4.64788607035254,4.432228909971121,4.882148769981606,970
PhonemicFluencyScore,journaling,baseline,mae,3.710294012139301,3.541223303623719,3.8752404006172188,970
PhonemicFluencyScore,journaling,demographics,r2,-0.02130144186436697,-0.05788247269269334,0.014280244458496337,970
PhonemicFluencyScore,journaling,demographics,rmse,4.6915215726533415,4.479859564808046,4.915343377360653,970
PhonemicFluencyScore,journaling,demographics,mae,3.7416513983216704,3.5680708512254533,3.918212474754683,970
PhonemicFluencyScore,journaling,full,r2,0.03434394531217569,0.009285461655438679,0.06104616664998127,970
PhonemicFluencyScore,journaling,full,rmse,4.562154362807554,4.353213936504762,4.782131507319913,970
PhonemicFluencyScore,journaling,full,mae,3.6342588573873207,3.457550516363769,3.8000454123604515,970
PhonemicFluencyScore,journaling,linguistic,r2,0.00530742031446668,-0.018403875033515003,0.0286784738228778,970
PhonemicFluencyScore,journaling,linguistic,rmse,4.63028096465785,4.419129525905273,4.855213540953215,970
PhonemicFluencyScore,journaling,linguistic,mae,3.6974385303194577,3.519405014105977,3.866815486008507,970
PhonemicFluencyScore,journaling,linguistic+acoustic,r2,0.032150399089869025,0.006676560218180399,0.05932465577574162,970
PhonemicFluencyScore,journaling,linguistic+acoustic,rmse,4.567314442507752,4.3591632455952265,4.784695252588521,970
PhonemicFluencyScore,journaling,linguistic+acoustic,mae,3.639746854015011,3.4623976376352767,3.805098863192941,970
PhonemicFluencyScore,picnicScene,acoustic,r2,0.042957315283436465,0.010590457054136667,0.0730642433155784,970
PhonemicFluencyScore,picnicScene,acoustic,rmse,4.541626647225781,4.326910742646715,4.759278485336332,970
PhonemicFluencyScore,picnicScene,acoustic,mae,3.619522714791111,3.4398930518979123,3.7878843237347426,970
PhonemicFluencyScore,picnicScene,baseline,r2,-0.002177887105586847,-0.006090242989277416,-0.00015999045774508513,970
PhonemicFluencyScore,picnicScene,baseline,rmse,4.64788607035254,4.432228909971121,4.882148769981606,970
PhonemicFluencyScore,picnicScene,baseline,mae,3.710294012139301,3.541223303623719,3.8752404006172188,970
PhonemicFluencyScore,picnicScene,demographics,r2,-0.02130144186436697,-0.05788247269269334,0.014280244458496337,970
PhonemicFluencyScore,picnicScene,demographics,rmse,4.6915215726533415,4.479859564808046,4.915343377360653,970
PhonemicFluencyScore,picnicScene,demographics,mae,3.7416513983216704,3.5680708512254533,3.918212474754683,970
PhonemicFluencyScore,picnicScene,full,r2,0.052524928091800864,0.02305692592024973,0.07935799420455812,970
PhonemicFluencyScore,picnicScene,full,rmse,4.518990143475088,4.3158326584205495,4.736396622566179,970
PhonemicFluencyScore,picnicScene,full,mae,3.61382836776845,3.4415453266053473,3.779563773574316,970
PhonemicFluencyScore,picnicScene,linguistic,r2,0.017037648633471625,-0.011177212341550995,0.044982151936108224,970
PhonemicFluencyScore,picnicScene,linguistic,rmse,4.60289179938338,4.388108113139944,4.825202421331563,970
PhonemicFluencyScore,picnicScene,linguistic,mae,3.679636232517382,3.5046849810923018,3.845605798960972,970
PhonemicFluencyScore,picnicScene,linguistic+acoustic,r2,0.04878327155597152,0.01928093570848179,0.07607855754672732,970
PhonemicFluencyScore,picnicScene,linguistic+acoustic,rmse,4.527861404056659,4.319543389376626,4.741354201775803,970
PhonemicFluencyScore,picnicScene,linguistic+acoustic,mae,3.6238422202098537,3.4535728628058235,3.7892697603677683,970
