target,task,model,metric,estimate,ci_low,ci_high,n_subjects
SemanticFluencyScore,cookieTheft,acoustic,r2,0.09980098437863678,0.0607864570514353,0.13672391166098483,970
SemanticFluencyScore,cookieTheft,acoustic,rmse,5.378938951606167,5.1228020421737925,5.633086856266453,970
SemanticFluencyScore,cookieTheft,acoustic,mae,4.2469777148526555,4.055832817438728,4.439878697568127,970
SemanticFluencyScore,cookieTheft,baseline,r2,-0.0052717000467995875,-0.0094898881003592,-0.002117395765266639,970
SemanticFluencyScore,cookieTheft,baseline,rmse,5.684876653494106,5.410638239502935,5.97606559106988,970
SemanticFluencyScore,cookieTheft,baseline,mae,4.522274230342167,4.32313450309532,4.729848251699911,970
SemanticFluencyScore,cookieTheft,demographics,r2,0.03343129513838647,-0.008723707257946004,0.075361410881533,970
SemanticFluencyScore,cookieTheft,demographics,rmse,5.573721897709622,5.319101238921299,5.872399237248286,970
SemanticFluencyScore,cookieTheft,demographics,mae,4.370535108230333,4.174245458850845,4.573169049693713,970
SemanticFluencyScore,cookieTheft,full,r2,0.16266202117378253,0.12836157828285324,0.1975072047039197,970
SemanticFluencyScore,cookieTheft,full,rmse,5.1879523022896485,4.925693638540119,5.456663012350401,970
SemanticFluencyScore,cookieTheft,full,mae,4.061951558217601,3.8817826890991434,4.252262013227133,970
SemanticFluencyScore,cookieTheft,linguistic,r2,0.12771494523060553,0.09195782953710564,0.1625437656271642,970
SemanticFluencyScore,cookieTheft,linguistic,rmse,5.295142316270446,5.016475231492071,5.580240453052978,970
SemanticFluencyScore,cookieTheft,linguistic,mae,4.131489756555426,3.9369648825666834,4.34842956124324,970
SemanticFluencyScore,cookieTheft,linguistic+acoustic,r2,0.15500888055688136,0.12142161552916253,0.18807574900753882,970
SemanticFluencyScore,cookieTheft,linguistic+acoustic,rmse,5.211620005182363,4.946520604787765,5.475507186618226,970
SemanticFluencyScore,cookieTheft,linguistic+acoustic,mae,4.079576242756519,3.896242494475408,4.28275705615356,970
SemanticFluencyScore,journaling,acoustic,r2,0.09730494082710456,0.058686604381395197,0.135620674743312,970
SemanticFluencyScore,journaling,acoustic,rmse,5.3864721341976285,5.130047690910937,5.660982593553999,970
SemanticFluencyScore,journaling,acoustic,mae,4.237488240319497,4.042823927127416,4.43389630136662,970
SemanticFluencyScore,journaling,baseline,r2,-0.0052717000467995875,-0.0094898881003592,-0.002117395765266639,970
SemanticFluencyScore,journaling,baseline,rmse,5.684876653494106,5.410638239502935,5.97606559106988,970
SemanticFluencyScore,journaling,baseline,mae,4.522274230342167,4.32313450309532,4.729848251699911,970
SemanticFluencyScore,journaling,demographics,r2,0.03343129513838647,-0.008723707257946004,0.075361410881533,970
SemanticFluencyScore,journaling,demographics,rmse,5.573721897709622,5.319101238921299,5.872399237248286,970
SemanticFluencyScore,journaling,demographics,mae,4.370535108230333,4.174245458850845,4.573169049693713,970
SemanticFluencyScore,journaling,full,r2,0.16628528559761685,0.12996554519591588,0.20373726157275387,970
SemanticFluencyScore,journaling,full,rmse,5.176653322627312,4.933323355261319,5.455069384612344,970
SemanticFluencyScore,journaling,full,mae,4.055838965898578,3.8612019972794105,4.256349018239179,970
SemanticFluencyScore,journaling,linguistic,r2,0.07921953444239932,0.043619805108205734,0.11461984144103975,970
SemanticFluencyScore,journaling,linguistic,rmse,5.440328023571576,5.169982765669201,5.732449201805228,970
SemanticFluencyScore,journaling,linguistic,mae,4.284190991573542,4.081441001656633,4.497184937975514,970
SemanticFluencyScore,journaling,linguistic+acoustic,r2,0.15543632640353752,0.11779772537821494,0.1947644043602047,970
SemanticFluencyScore,journaling,linguistic+acoustic,rmse,5.210176949438215,4.966426216079002,5.480665775029948,970
SemanticFluencyScore,journaling,linguistic+acoustic,mae,4.086940110913287,3.892752201789314,4.289920808778397,970
SemanticFluencyScore,picnicScene,acoustic,r2,0.10929574473791104,0.06982505572296184,0.14803045750652064,970
