target,task,model,r2_oof,r2_mean,r2_ci_low,r2_ci_high,n_subjects,n_boot
PhonemicFluencyScore,cookieTheft,acoustic,0.032397080606731965,0.031652922288155395,-0.0019800268758514345,0.063263668182517,970,1000
PhonemicFluencyScore,cookieTheft,baseline,-0.001162473452021251,-0.002177887105586847,-0.006090242989277416,-0.00015999045774508513,970,1000
PhonemicFluencyScore,cookieTheft,demographics,-0.01968552124524292,-0.02130144186436697,-0.05788247269269334,0.014280244458496337,970,1000
PhonemicFluencyScore,cookieTheft,full,0.047139898769523625,0.04676012356576583,0.0186078471508606,0.07504781533026733,970,1000
PhonemicFluencyScore,cookieTheft,linguistic,0.014539598503573115,0.014482634641795417,-0.013092194639541315,0.04304162325210539,970,1000
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,0.04410872925932374,0.04389254403135058,0.015432088730743055,0.07312095555377589,970,1000
PhonemicFluencyScore,journaling,acoustic,-0.0005567502328140961,-0.0016284677756691443,-0.030006052504337306,0.028293553437797575,970,1000
PhonemicFluencyScore,journaling,baseline,-0.001162473452021251,-0.002177887105586847,-0.006090242989277416,-0.00015999045774508513,970,1000
PhonemicFluencyScore,journaling,demographics,-0.01968552124524292,-0.02130144186436697,-0.05788247269269334,0.014280244458496337,970,1000
PhonemicFluencyScore,journaling,full,0.035001086092074196,0.03434394531217569,0.009285461655438679,0.06104616664998127,970,1000
PhonemicFluencyScore,journaling,linguistic,0.005642225326002559,0.00530742031446668,-0.018403875033515003,0.0286784738228778,970,1000
PhonemicFluencyScore,journaling,linguistic+acoustic,0.03281891556525596,0.032150399089869025,0.006676560218180399,0.05932465577574162,970,1000
PhonemicFluencyScore,picnicScene,acoustic,0.04464416588204889,0.042957315283436465,0.010590457054136667,0.0730642433155784,970,1000
PhonemicFluencyScore,picnicScene,baseline,-0.001162473452021251,-0.002177887105586847,-0.006090242989277416,-0.00015999045774508513,970,1000
PhonemicFluencyScore,picnicScene,demographics,-0.01968552124524292,-0.02130144186436697,-0.05788247269269334,0.014280244458496337,970,1000
PhonemicFluencyScore,picnicScene,full,0.053590131878616054,0.052524928091800864,0.02305692592024973,0.07935799420455812,970,1000
PhonemicFluencyScore,picnicScene,linguistic,0.017891963733159266,0.017037648633471625,-0.011177212341550995,0.044982151936108224,970,1000
PhonemicFluencyScore,picnicScene,linguistic+acoustic,0.04970016322022741,0.04878327155597152,0.01928093570848179,0.07607855754672732,970,1000
