target,task,model,r2_oof,r2_mean,r2_ci_low,r2_ci_high,n_subjects,n_boot
PictureNamingScore,cookieTheft,acoustic,0.1063371199240234,0.10514343088633146,0.039457803328876044,0.1718363684817424,959,1000
PictureNamingScore,cookieTheft,baseline,-0.0021392720716173486,-0.0032369270012569873,-0.007590424781146548,-0.0006120757730238076,959,1000
PictureNamingScore,cookieTheft,demographics,0.02872288341042828,0.027430286160927166,-0.028816461246491672,0.08977467357448062,959,1000
PictureNamingScore,cookieTheft,full,0.22110503912254742,0.219651004625431,0.15010124243165404,0.2866191278358159,959,1000
PictureNamingScore,cookieTheft,linguistic,0.21413403256930053,0.21291825472272055,0.14475759211151137,0.28188789896404853,959,1000
PictureNamingScore,cookieTheft,linguistic+acoustic,0.22371441928043945,0.22226561423554703,0.15304298546794268,0.2893001565538577,959,1000
PictureNamingScore,journaling,acoustic,0.04012065750989369,0.0393269303055213,-0.015006142802091374,0.09085679102064192,959,1000
PictureNamingScore,journaling,baseline,-0.0021392720716173486,-0.0032369270012569873,-0.007590424781146548,-0.0006120757730238076,959,1000
PictureNamingScore,journaling,demographics,0.02872288341042828,0.027430286160927166,-0.028816461246491672,0.08977467357448062,959,1000
PictureNamingScore,journaling,full,0.12411576576128736,0.12368581491180206,0.06714872060001369,0.17632477202971478,959,1000
PictureNamingScore,journaling,linguistic,0.0997014829586601,0.09919778712983872,0.04599498174094867,0.15156143267108574,959,1000
PictureNamingScore,journaling,linguistic+acoustic,0.12321897260280401,0.12266740235767884,0.0677671773044227,0.1745024333999787,959,1000
PictureNamingScore,picnicScene,acoustic,0.16730807889976862,0.16636024312912387,0.09343417115006081,0.24301300374521576,959,1000
PictureNamingScore,picnicScene,baseline,-0.0021392720716173486,-0.0032369270012569873,-0.007590424781146548,-0.0006120757730238076,959,1000
PictureNamingScore,picnicScene,demographics,0.02872288341042828,0.027430286160927166,-0.028816461246491672,0.08977467357448062,959,1000
PictureNamingScore,picnicScene,full,0.27182314378978933,0.2714452827361381,0.19213914017719905,0.34754862675101195,959,1000
PictureNamingScore,picnicScene,linguistic,0.25809055594644914,0.25767627925983594,0.18103142860419863,0.33359870200297237,959,1000
PictureNamingScore,picnicScene,linguistic+acoustic,0.2701166595554432,0.26973505627187117,0.18694460924772485,0.3463273777191801,959,1000
