target,task,model,r2_oof,r2_mean,r2_ci_low,r2_ci_high,n_subjects,n_boot
SemanticFluencyScore,cookieTheft,acoustic,0.1008360358277296,0.09980098437863678,0.0607864570514353,0.13672391166098483,970,1000
SemanticFluencyScore,cookieTheft,baseline,-0.004357116894370794,-0.0052717000467995875,-0.0094898881003592,-0.002117395765266639,970,1000
SemanticFluencyScore,cookieTheft,demographics,0.03460699025960223,0.03343129513838647,-0.008723707257946004,0.075361410881533,970,1000
SemanticFluencyScore,cookieTheft,full,0.16372237609949536,0.16266202117378253,0.12836157828285324,0.1975072047039197,970,1000
SemanticFluencyScore,cookieTheft,linguistic,0.12864065564304195,0.12771494523060553,0.09195782953710564,0.1625437656271642,970,1000
SemanticFluencyScore,cookieTheft,linguistic+acoustic,0.15603421107252036,0.15500888055688136,0.12142161552916253,0.18807574900753882,970,1000
SemanticFluencyScore,journaling,acoustic,0.09848070279024868,0.09730494082710456,0.058686604381395197,0.135620674743312,970,1000
SemanticFluencyScore,journaling,baseline,-0.004357116894370794,-0.0052717000467995875,-0.0094898881003592,-0.002117395765266639,970,1000
SemanticFluencyScore,journaling,demographics,0.03460699025960223,0.03343129513838647,-0.008723707257946004,0.075361410881533,970,1000
SemanticFluencyScore,journaling,full,0.16734066790557167,0.16628528559761685,0.12996554519591588,0.20373726157275387,970,1000
SemanticFluencyScore,journaling,linguistic,0.08066174216940714,0.07921953444239932,0.043619805108205734,0.11461984144103975,970,1000
SemanticFluencyScore,journaling,linguistic+acoustic,0.15657287513770035,0.15543632640353752,0.11779772537821494,0.1947644043602047,970,1000
SemanticFluencyScore,picnicScene,acoustic,0.11096529114297737,0.10929574473791104,0.06982505572296184,0.14803045750652064,970,1000
SemanticFluencyScore,picnicScene,baseline,-0.004357116894370794,-0.0052717000467995875,-0.0094898881003592,-0.002117395765266639,970,1000
SemanticFluencyScore,picnicScene,demographics,0.03460699025960223,0.03343129513838647,-0.008723707257946004,0.075361410881533,970,1000
SemanticFluencyScore,picnicScene,full,0.1916783327397763,0.1901715147916849,0.15360586753989305,0.2264087462258428,970,1000
SemanticFluencyScore,picnicScene,linguistic,0.14600910549369084,0.144741946039424,0.10626052306836796,0.18033104876711095,970,1000
SemanticFluencyScore,picnicScene,linguistic+acoustic,0.18352684409126852,0.18190458868182605,0.14349206009809812,0.2191892294591821,970,1000
