target,task,model,fold,r2,rmse,mae,estimator
PictureNamingScore,picnicScene,demographics,0,-0.09447680620753518,2.54470738561311,1.9437989012598516,RandomForestRegressor
PictureNamingScore,picnicScene,demographics,1,0.05021709569407862,2.5388197355051965,1.8701405184422206,RandomForestRegressor
PictureNamingScore,picnicScene,demographics,2,0.08538596754214767,2.7812733039470086,2.008456478490047,RandomForestRegressor
PictureNamingScore,picnicScene,demographics,3,0.09087085877296963,2.6170571339589173,1.8640622074900524,RandomForestRegressor
PictureNamingScore,picnicScene,demographics,4,-0.030129183972885443,2.966196472258434,2.0143500759919863,RandomForestRegressor
PictureNamingScore,picnicScene,acoustic,0,0.023427046647794048,2.4037368149862046,1.7888843696735262,RandomForestRegressor
PictureNamingScore,picnicScene,acoustic,1,0.04245908455179204,2.549167434204853,1.8812550849435388,RandomForestRegressor
PictureNamingScore,picnicScene,acoustic,2,0.25493751806523657,2.510273749001355,1.8312798977498712,RandomForestRegressor
PictureNamingScore,picnicScene,acoustic,3,0.31123653781919536,2.2779042493850623,1.6673417975189955,RandomForestRegressor
PictureNamingScore,picnicScene,acoustic,4,0.13654117906885022,2.7156568005360047,1.8288887532301192,RandomForestRegressor
PictureNamingScore,picnicScene,linguistic,0,0.11395338722569848,2.2896170677001932,1.6928508814610639,RandomForestRegressor
PictureNamingScore,picnicScene,linguistic,1,0.20346325766838502,2.3249980786164284,1.6313451191928978,RandomForestRegressor
PictureNamingScore,picnicScene,linguistic,2,0.31015145069714833,2.4154698155770604,1.719653748176288,RandomForestRegressor
PictureNamingScore,picnicScene,linguistic,3,0.35196491736254676,2.2095288344547117,1.6890275986574002,RandomForestRegressor
PictureNamingScore,picnicScene,linguistic,4,0.2534853118361181,2.525068982303804,1.7197461649247465,RandomForestRegressor
PictureNamingScore,picnicScene,linguistic+acoustic,0,0.12104817583772542,2.280431886123775,1.6792925315550746,RandomForestRegressor
PictureNamingScore,picnicScene,linguistic+acoustic,1,0.21253414216894673,2.311721744727577,1.6758492839654022,RandomForestRegressor
PictureNamingScore,picnicScene,linguistic+acoustic,2,0.32901951546519725,2.3822080153121528,1.7075995424714847,RandomForestRegressor
PictureNamingScore,picnicScene,linguistic+acoustic,3,0.3951038178656403,2.134719593476586,1.6234834063854415,RandomForestRegressor
PictureNamingScore,picnicScene,linguistic+acoustic,4,0.23687398176943153,2.5530081363821,1.696387704668462,RandomForestRegressor
PictureNamingScore,picnicScene,full,0,0.11809281258125126,2.2842624993288476,1.6816859175318009,RandomForestRegressor
PictureNamingScore,picnicScene,full,1,0.21636198406247553,2.3060963039434075,1.6751117027469051,RandomForestRegressor
PictureNamingScore,picnicScene,full,2,0.3308092368526987,2.3790288353243287,1.7197147885570858,RandomForestRegressor
PictureNamingScore,picnicScene,full,3,0.3904627327545591,2.142893297022665,1.6348804284786516,RandomForestRegressor
PictureNamingScore,picnicScene,full,4,0.245774900904692,2.5380756285963915,1.6981113121569955,RandomForestRegressor
PictureNamingScore,picnicScene,baseline,0,-0.0200728837706019,2.456688939199331,1.8613917861799216,DummyRegressor
PictureNamingScore,picnicScene,baseline,1,-0.001375968880624523,2.6068633960477503,1.907131613168161,DummyRegressor
PictureNamingScore,picnicScene,baseline,2,-5.471159883074783e-05,2.9082826823860617,2.052118267059065,DummyRegressor
PictureNamingScore,picnicScene,baseline,3,-0.003243731608226552,2.7491829511546944,1.8535172506376691,DummyRegressor
PictureNamingScore,picnicScene,baseline,4,-0.007976229567639326,2.9341290672464644,1.9892913407214252,DummyRegressor
PictureNamingScore,cookieTheft,demographics,0,-0.09447680620753518,2.54470738561311,1.9437989012598516,RandomForestRegressor
PictureNamingScore,cookieTheft,demographics,1,0.05021709569407862,2.5388197355051965,1.8701405184422206,RandomForestRegressor
