Feature,Mean_Absolute_SHAP_Value
speech_rate_phonemes,0.20167370010859795
aoa_verbs,0.16820446427538674
DET,0.12885977967977252
aoa_content,0.11616284916091343
total_pause_duration,0.10230064572008836
phonation_rate,0.08941219878475279
n_words,0.08815430584814328
filler_word_ratio,0.08579439230520966
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.08530382343899655
pause_word_ratio,0.08446728326645721
guirauds_statistic,0.07236076224912688
eGeMAPS_loudness_sma3_percentile20.0,0.07069579490952818
freq_content,0.06601434042244327
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.061703716440473545
pause_rate,0.06143550651129665
brunets_index,0.05210920595620463
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0.048689770375094185
Socioeconomic,0.04655518689006097
VERB,0.04581741098129104
determiner_noun_ratio,0.04314383054270493
avg_pause_duration,0.04206337952724702
nid_ratio,0.04005565695722692
noun_verb_ratio,0.03997226053623863
ADP,0.03905239636956415
eGeMAPS_loudness_sma3_amean,0.03851278155732575
eGeMAPS_slopeV0-500_sma3nz_amean,0.03739734962803588
concr_content,0.03451492032552396
Age,0.03386301432609266
concr_verbs,0.032875089369740915
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.03271101568317008
CCONJ,0.032699404229756604
honores_statistic,0.03225718543849743
n_pauses,0.031169726591356514
freq_verbs,0.03058843859935063
eGeMAPS_jitterLocal_sma3nz_amean,0.030555006605940193
mattr_30,0.030436756959523123
ADV,0.03019392266459343
NOUN,0.029897032861844176
SCONJ,0.029559467440668275
article_pause_contentword,0.028248961456034102
freq_nouns,0.0281073934342948
content_density,0.026951119971113283
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.026704679078147612
PART,0.026170209271929836
light_verb_ratio,0.02581768162612397
eGeMAPS_mfcc3V_sma3nz_amean,0.025094382624974005
ADJ,0.024665124361631364
pronoun_noun_ratio,0.02435430667172584
AUX,0.024277940472550413
information_words_ratio,0.0234380114606553
eGeMAPS_mfcc3_sma3_amean,0.022952775267530152
concr_nouns,0.022272234165917074
PRON,0.02140517957759609
aoa_nouns,0.018341473581348584
eGeMAPS_slopeUV0-500_sma3nz_amean,0.018300218968634468
mattr_10,0.01768741263686656
avg_word_length,0.017684488557482735
aux_verb_ratio,0.017369340834836402
Education_level,0.01413412232943076
Country,0.012959221209043418
Gender,0.00732143417139879
