Feature,Mean_Absolute_SHAP_Value
speech_rate_phonemes,0.28239103778315144
total_pause_duration,0.15815663621119713
aoa_content,0.0944366738984071
SCONJ,0.08557451309937815
phonation_rate,0.08529270194975129
pause_word_ratio,0.07911669291470498
ADV,0.0755398909823193
n_words,0.07136652564891328
honores_statistic,0.07062505743137965
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.06804864002694014
aoa_verbs,0.05703050404073756
freq_content,0.05671948351019691
nid_ratio,0.05310531992488159
aux_verb_ratio,0.052847769945141274
eGeMAPS_slopeV0-500_sma3nz_amean,0.05006774038025357
noun_verb_ratio,0.04882550934368254
information_words_ratio,0.048421135052532704
avg_pause_duration,0.04834275971389188
eGeMAPS_loudness_sma3_amean,0.046466452355698906
guirauds_statistic,0.04630179029757383
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.046134037253281905
n_pauses,0.045461289185977964
NOUN,0.04509115752031929
AUX,0.04433873956794917
pause_rate,0.04322143846369741
concr_content,0.03988015742289834
brunets_index,0.03936466545680296
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0.03830938124474894
freq_verbs,0.03346544891832129
freq_nouns,0.032985156398406934
filler_word_ratio,0.03259951640529543
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.03221235274747025
Socioeconomic,0.03170493580403594
mattr_30,0.029780007137379206
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.029760545636588368
total_speech_duration,0.029455164138871833
eGeMAPS_loudness_sma3_percentile20.0,0.02938404814171884
PART,0.029279225762129303
CCONJ,0.028897591208779588
Age,0.028158255386114068
avg_word_length,0.027873050436503066
eGeMAPS_mfcc3_sma3_amean,0.027536540602301506
DET,0.02747871530014353
eGeMAPS_mfcc3V_sma3nz_amean,0.026918074394528636
ADP,0.02676803787181892
PRON,0.026617974099952802
determiner_noun_ratio,0.026174423172606383
eGeMAPS_slopeUV0-500_sma3nz_amean,0.0250356776948933
aoa_nouns,0.024804053867857737
pronoun_noun_ratio,0.024607995337641138
VERB,0.024357683839444897
concr_verbs,0.024102311414544494
content_density,0.023931623184948153
concr_nouns,0.023574341563088
ADJ,0.02086709435907903
light_verb_ratio,0.020456702800678954
Country,0.020289551895537213
eGeMAPS_jitterLocal_sma3nz_amean,0.017949203629721487
mattr_10,0.01669383079726451
Education_level,0.014160441675455323
Gender,0.004331274853303678
