Feature,Mean_Absolute_SHAP_Value
speech_rate_phonemes,0.32688949469882844
n_words,0.12613594372809087
total_pause_duration,0.11892960053317014
guirauds_statistic,0.11201361575511644
aoa_verbs,0.09217497201679642
aoa_content,0.0906944315618363
phonation_rate,0.08832556833505621
light_verb_ratio,0.07329268712393383
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.06564553674215005
honores_statistic,0.060608746172927004
pause_rate,0.0605805893023118
NOUN,0.057087838470772784
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.05259344872628031
AUX,0.051005788207359196
freq_verbs,0.0485294674295569
CCONJ,0.04677236733549608
avg_pause_duration,0.045961501612511564
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0.0439759760364651
total_speech_duration,0.0433080725124379
DET,0.042998102396589216
ADP,0.042639895928978454
n_pauses,0.04210032168179812
VERB,0.04191544418827057
Socioeconomic,0.039962034302898325
eGeMAPS_slopeV0-500_sma3nz_amean,0.03854493025806754
avg_word_length,0.038194155987436994
filler_word_ratio,0.03780230049803613
INTJ,0.03700155202227548
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.03636431325431626
concr_content,0.03622046371810878
aux_verb_ratio,0.03576885184145537
aoa_nouns,0.03264897599749907
eGeMAPS_loudness_sma3_amean,0.031940170807423146
determiner_noun_ratio,0.03120255072544144
pronoun_noun_ratio,0.02994128427949288
ADJ,0.029395363583077885
PRON,0.029219624942453715
concr_verbs,0.028751844018590107
brunets_index,0.028034144870939314
eGeMAPS_loudness_sma3_percentile20.0,0.027527303854402566
eGeMAPS_jitterLocal_sma3nz_amean,0.02745432655795322
eGeMAPS_slopeUV0-500_sma3nz_amean,0.02693547727873593
concr_nouns,0.026345898627324397
eGeMAPS_mfcc3V_sma3nz_amean,0.026234063742934365
noun_verb_ratio,0.025558437744395323
Age,0.02535876217324213
freq_content,0.024627809407935325
nid_ratio,0.02438844577203528
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.024331804748852433
content_density,0.023153690180316232
freq_nouns,0.022681729442185387
mattr_10,0.022400987770808612
information_words_ratio,0.022015816319964625
article_pause_contentword,0.0219233991256937
mattr_30,0.02165759000262503
ADV,0.01863242388851782
Education_level,0.01413287790487419
Country,0.012958694711910516
Gender,0.009675325622055217
