Feature,Mean_Absolute_SHAP_Value
guirauds_statistic,0.11752357652748419
n_words,0.09953697042426866
aoa_content,0.08762778800643332
ADP,0.07782403993136155
pause_rate,0.0623339688581409
speech_rate_phonemes,0.05594912452712935
phonation_rate,0.05571417847326627
pause_word_ratio,0.052153452226957914
freq_nouns,0.05066046011554338
aoa_nouns,0.0490346017981113
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.048539622342480465
aoa_verbs,0.04570719275356183
mattr_30,0.0450495899196661
eGeMAPS_loudness_sma3_amean,0.044127592471872
freq_content,0.042842793607907444
mattr_10,0.03899366537940334
ADJ,0.03748503647352847
concr_content,0.03560178369624568
SCONJ,0.033834913971037196
determiner_noun_ratio,0.03131615034529016
eGeMAPS_loudness_sma3_percentile20.0,0.029378344079212377
information_words_ratio,0.029142599327361126
ADV,0.027955410412030642
concr_verbs,0.02661195626312625
concr_nouns,0.026366393252305425
content_density,0.02567851083483495
brunets_index,0.02517942318334809
eGeMAPS_mfcc3V_sma3nz_amean,0.024532401281281355
VERB,0.023024254797075247
article_pause_contentword,0.02231998454280364
AUX,0.021586899168632576
aux_verb_ratio,0.01993643061288614
eGeMAPS_slopeV0-500_sma3nz_amean,0.019173137776978558
filler_word_ratio,0.018931836248645546
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0.01875010659343329
eGeMAPS_slopeUV0-500_sma3nz_amean,0.018505431472420866
eGeMAPS_mfcc3_sma3_amean,0.01841863297344356
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.017061601866377094
total_pause_duration,0.016859649220988742
CCONJ,0.014475367360304683
PART,0.014320536537354373
noun_verb_ratio,0.014308413238205453
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.01422388085730283
freq_verbs,0.014148936182858273
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.014097292849252187
DET,0.014089660038708113
Education_level,0.013450755050426694
pronoun_noun_ratio,0.012596199141961454
avg_word_length,0.0123071786238319
PRON,0.012241652807180082
avg_pause_duration,0.011849195846085115
honores_statistic,0.011312637602759475
nid_ratio,0.011156856950262436
light_verb_ratio,0.009626306058968753
NOUN,0.009539525762518666
Age,0.009490732840969707
eGeMAPS_jitterLocal_sma3nz_amean,0.008426660865934387
n_pauses,0.008196510956139618
Gender,0.006225215558366766
Socioeconomic,0.0046299214455490225
Country,0.004123250408352428
