Feature,Mean_Absolute_SHAP_Value
aoa_content,0.09356624073363869
PRON,0.08556666749693775
guirauds_statistic,0.0759769153392694
pronoun_noun_ratio,0.07164225242849465
pause_rate,0.06191199865432391
phonation_rate,0.05787495274000762
aoa_nouns,0.057117834115337975
concr_content,0.056933018150888214
pause_word_ratio,0.055583421233293
honores_statistic,0.05530084130061849
speech_rate_phonemes,0.05299334306682134
concr_nouns,0.048037360199780374
total_speech_duration,0.044409619139648665
mattr_10,0.03829696736740626
DET,0.036403819787658075
eGeMAPS_loudness_sma3_percentile20.0,0.034643292226692005
filler_word_ratio,0.03447383862004195
eGeMAPS_loudness_sma3_amean,0.034229543038887054
n_pauses,0.030748612151964474
freq_nouns,0.030226292986772225
noun_verb_ratio,0.029904124041683848
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.0294904265195682
mattr_30,0.029270802213651255
total_pause_duration,0.029049052963255197
nid_ratio,0.025553701270714116
n_words,0.024914031649846624
eGeMAPS_slopeV0-500_sma3nz_amean,0.023419991976077366
SCONJ,0.022204965650947008
information_words_ratio,0.02200146472978218
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0.021797570099354298
CCONJ,0.02143462621012696
avg_word_length,0.020390917476207925
eGeMAPS_slopeUV0-500_sma3nz_amean,0.020185715535313044
freq_content,0.019105534431804697
aoa_verbs,0.019072904165723263
VERB,0.018859833194621693
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.01869048741281485
ADV,0.018549533876274935
eGeMAPS_mfcc3_sma3_amean,0.01839541832793546
determiner_noun_ratio,0.01836090196150879
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.018283426498840946
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.014980846305241956
PART,0.014040843979499736
Age,0.013985337193156195
brunets_index,0.013424039574714684
freq_verbs,0.013246945307176173
content_density,0.012906180978211283
concr_verbs,0.012821633346630012
NOUN,0.011749502593836844
Education_level,0.011240610008290557
ADJ,0.010521160234380704
eGeMAPS_mfcc3V_sma3nz_amean,0.009929246081905244
ADP,0.00991513895247349
aux_verb_ratio,0.009533233253784669
light_verb_ratio,0.009340234568195908
avg_pause_duration,0.008851554071661083
eGeMAPS_jitterLocal_sma3nz_amean,0.007647046233338409
AUX,0.007191295919945913
Socioeconomic,0.006865662631362116
Country,0.005372440901330427
Gender,0.0037106865149356067
