Feature,Mean_Absolute_SHAP_Value
speech_rate_phonemes,0.32515932138017123
n_words,0.28865835157341235
guirauds_statistic,0.23984413379864403
aoa_content,0.2361751208158702
pause_word_ratio,0.21129442965880663
phonation_rate,0.20697685674410138
Country,0.19032173220853543
pause_rate,0.13781636041037298
total_pause_duration,0.13488516657537866
avg_word_length,0.12177142554060151
DET,0.11049715819506138
Age,0.09458335024547135
mattr_30,0.09288761967896356
ADP,0.08260128817590162
brunets_index,0.08011189938730771
CCONJ,0.07813182930810392
aoa_verbs,0.0701954500225046
NOUN,0.06964767140097984
freq_content,0.0676841990518955
noun_verb_ratio,0.0661173410092484
pronoun_noun_ratio,0.06096731298241105
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.06055069029982223
n_pauses,0.05530750714914762
mattr_10,0.054781189550527236
filler_word_ratio,0.05459220013763113
PRON,0.05183590894677615
VERB,0.05167949824587773
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.04728265552783193
content_density,0.04725463080867936
concr_nouns,0.044165202287200736
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0.04366768401062626
aoa_nouns,0.04236038599794542
information_words_ratio,0.040387501852589325
avg_pause_duration,0.040297151302251304
nid_ratio,0.03895268660292427
ADJ,0.03641396009200099
eGeMAPS_loudness_sma3_percentile20.0,0.036382691015471876
ADV,0.03603110730867579
SCONJ,0.03560994726687193
concr_content,0.034386154128227146
Education_level,0.034012676750641235
honores_statistic,0.03376413940567227
determiner_noun_ratio,0.033587641323331405
eGeMAPS_loudness_sma3_amean,0.03341720637736337
eGeMAPS_slopeV0-500_sma3nz_amean,0.03186842587803314
eGeMAPS_mfcc3V_sma3nz_amean,0.03154577199356627
eGeMAPS_mfcc3_sma3_amean,0.03028223270979799
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.02774811859195338
AUX,0.02653120784646424
Socioeconomic,0.024926966908801463
freq_nouns,0.02408258228369876
concr_verbs,0.023297107641464282
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.02220191755211568
freq_verbs,0.02191851312886835
PART,0.019460376250991125
eGeMAPS_slopeUV0-500_sma3nz_amean,0.018801883463334827
eGeMAPS_jitterLocal_sma3nz_amean,0.018388922708580547
light_verb_ratio,0.01820772969923365
aux_verb_ratio,0.017979814885438285
Gender,0.014702432196105142
article_pause_contentword,0.013203155929639413
