Feature,Mean_Absolute_SHAP_Value
speech_rate_phonemes,0.40816696921136114
pause_word_ratio,0.22865173299147654
phonation_rate,0.2270312465808932
total_pause_duration,0.19531240792093016
noun_verb_ratio,0.17490558964879344
Country,0.167626215309359
guirauds_statistic,0.15207427079745883
pause_rate,0.14747238884315325
pronoun_noun_ratio,0.13162392482508287
freq_content,0.12769147382456117
n_words,0.12411679487039198
NOUN,0.11955390055497704
n_pauses,0.11749176335172924
Age,0.09593139773083957
concr_content,0.08777526716112302
mattr_10,0.08602672498466064
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.07325693491909192
DET,0.06689631996186612
honores_statistic,0.066473458262388
PRON,0.06627747052014928
concr_verbs,0.06259565351775272
total_speech_duration,0.06188032869887476
VERB,0.061310306332416256
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.06044773017804062
ADV,0.05743377726417423
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0.055036539612823454
brunets_index,0.05234555868175974
eGeMAPS_loudness_sma3_percentile20.0,0.051650923996666334
ADP,0.05138881835653294
filler_word_ratio,0.04866881441307635
mattr_30,0.04654516054759984
SCONJ,0.04506391670842396
light_verb_ratio,0.04503005891825718
information_words_ratio,0.04099432876108285
eGeMAPS_mfcc3_sma3_amean,0.040792034977096665
aoa_verbs,0.039779076881656675
avg_pause_duration,0.03918432858254347
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.036898802284433735
freq_nouns,0.03539761494124935
concr_nouns,0.033584748035754855
AUX,0.03298596398197198
determiner_noun_ratio,0.03136510141497659
aoa_content,0.029823766439153222
freq_verbs,0.02866047687829272
nid_ratio,0.028406038659368145
eGeMAPS_mfcc3V_sma3nz_amean,0.028179554881214118
eGeMAPS_slopeV0-500_sma3nz_amean,0.027739694347763303
eGeMAPS_loudness_sma3_amean,0.02750848530960951
CCONJ,0.0274625624049112
avg_word_length,0.026791265761548572
PART,0.025920097313239767
eGeMAPS_slopeUV0-500_sma3nz_amean,0.02566207639103901
Education_level,0.024601569648575884
aoa_nouns,0.024004764408008333
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.023249724789648353
ADJ,0.023013673408886662
content_density,0.019894878634312305
aux_verb_ratio,0.019544633824482165
eGeMAPS_jitterLocal_sma3nz_amean,0.018499123242075442
Gender,0.018095485355222846
Socioeconomic,0.016732905618238415
