Feature,Mean_Absolute_SHAP_Value
speech_rate_phonemes,0.40321162520189174
guirauds_statistic,0.3930804125985214
n_words,0.2555568734771482
aoa_content,0.22504927030655877
phonation_rate,0.22021855591689715
total_pause_duration,0.2182658741958501
Country,0.16807670570761035
pause_rate,0.16805975659668
aoa_nouns,0.13441595695809033
n_pauses,0.10564506544962232
CCONJ,0.1052430163852066
total_speech_duration,0.10419366744260501
VERB,0.0990978989065763
noun_verb_ratio,0.09107438258516624
honores_statistic,0.0812424447468139
Age,0.08061509573676329
filler_word_ratio,0.08040643152310398
NOUN,0.07894812157481403
concr_content,0.0732590203455189
mattr_30,0.06792090861881976
freq_content,0.0677197876594325
ADP,0.06562687470049157
DET,0.06054064282756038
concr_verbs,0.05116189900861654
INTJ,0.0481914790479488
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.04716724459359994
aoa_verbs,0.04710812913114718
mattr_10,0.04567945085628157
nid_ratio,0.044174828670633964
AUX,0.04332951499820975
brunets_index,0.04293574785369987
ADV,0.041843997544015785
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0.04147489301298027
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.04103884153888325
ADJ,0.04017107207557964
determiner_noun_ratio,0.04005014179677434
information_words_ratio,0.03984703002858844
aux_verb_ratio,0.03835787812513383
eGeMAPS_mfcc3V_sma3nz_amean,0.03699520498696209
avg_pause_duration,0.03697088864530932
avg_word_length,0.035546043575488864
Education_level,0.03464466320184533
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.03449398966032052
concr_nouns,0.032865117085961855
eGeMAPS_loudness_sma3_percentile20.0,0.03128939104943199
eGeMAPS_slopeV0-500_sma3nz_amean,0.02898570224140322
Socioeconomic,0.028933002586272186
light_verb_ratio,0.026884427207650583
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.026805895227014296
eGeMAPS_loudness_sma3_amean,0.02656273389127058
eGeMAPS_jitterLocal_sma3nz_amean,0.025929119758464646
freq_nouns,0.025498237308301745
pronoun_noun_ratio,0.02373584691186975
content_density,0.02246397097243287
freq_verbs,0.019764867137139826
eGeMAPS_slopeUV0-500_sma3nz_amean,0.019759345279181564
Gender,0.01847414574338306
PRON,0.015976965034507084
article_pause_contentword,0.014673741688313677
