task,target,A,B,mean_diff,ci_low,ci_high,p_raw,p_adj,n_subjects
picnicScene,PictureNamingScore,baseline,acoustic,-0.16959717013038086,-0.24625107034242055,-0.09627070482289908,0.0,0.0,959
picnicScene,PictureNamingScore,baseline,linguistic,-0.26091320626109293,-0.3366911251162276,-0.18409282774811572,0.0,0.0,959
picnicScene,PictureNamingScore,baseline,linguistic+acoustic,-0.2729719832731282,-0.3496380567315826,-0.19117862356468654,0.0,0.0,959
picnicScene,PictureNamingScore,baseline,full,-0.2746822097373951,-0.35172842387325204,-0.19448206634175422,0.0,0.0,959
picnicScene,PictureNamingScore,demographics,acoustic,-0.13892995696819668,-0.2034219386211948,-0.07886698642811078,0.0,0.0,959
picnicScene,PictureNamingScore,demographics,linguistic,-0.23024599309890875,-0.29908584329410964,-0.16437137102864488,0.0,0.0,959
picnicScene,PictureNamingScore,demographics,linguistic+acoustic,-0.24230477011094395,-0.31066861931601825,-0.1761954993487709,0.0,0.0,959
picnicScene,PictureNamingScore,demographics,full,-0.24401499657521095,-0.3110420128375893,-0.17900251754577087,0.0,0.0,959
picnicScene,PictureNamingScore,acoustic,linguistic+acoustic,-0.1033748131427473,-0.1436437580210723,-0.06083617318963493,0.0,0.0,959
picnicScene,PictureNamingScore,acoustic,full,-0.10508503960701426,-0.14438245592901072,-0.0630332697147099,0.0,0.0,959
picnicScene,PictureNamingScore,acoustic,linguistic,-0.09131603613071207,-0.1479536903276341,-0.03610764254070629,0.003,0.015,959
picnicScene,PictureNamingScore,linguistic,full,-0.01376900347630221,-0.036321654272869826,0.007327970272516657,0.19,0.76,959
picnicScene,PictureNamingScore,baseline,demographics,-0.03066721316218419,-0.09209830800101876,0.025786887718587195,0.316,0.8250000000000001,959
picnicScene,PictureNamingScore,linguistic,linguistic+acoustic,-0.012058777012035234,-0.03434478927112706,0.009966428239281965,0.275,0.8250000000000001,959
picnicScene,PictureNamingScore,linguistic+acoustic,full,-0.0017102264642669743,-0.007402115605965964,0.003941283706807277,0.511,0.8250000000000001,959
picnicScene,SemanticFluencyScore,baseline,acoustic,-0.11456744478471063,-0.15273097466168542,-0.07512950962415599,0.0,0.0,970
