task,target,A,B,mean_diff,ci_low,ci_high,p_raw,p_adj,n_subjects
picnicScene,SemanticFluencyScore,baseline,acoustic,-0.11456744478471063,-0.15273097466168542,-0.07512950962415599,0.0,0.0,970
picnicScene,SemanticFluencyScore,baseline,linguistic,-0.15001364608622356,-0.18539359574250588,-0.11226455736469998,0.0,0.0,970
picnicScene,SemanticFluencyScore,baseline,linguistic+acoustic,-0.18717628872862566,-0.22396105377711345,-0.1493382304256372,0.0,0.0,970
picnicScene,SemanticFluencyScore,baseline,full,-0.19544321483848448,-0.23078563815754555,-0.15849424340197013,0.0,0.0,970
picnicScene,SemanticFluencyScore,demographics,linguistic,-0.11131065090103749,-0.1616574076828209,-0.05739500948868955,0.0,0.0,970
picnicScene,SemanticFluencyScore,demographics,linguistic+acoustic,-0.14847329354343955,-0.19940229062385476,-0.09453723282116007,0.0,0.0,970
picnicScene,SemanticFluencyScore,demographics,full,-0.15674021965329846,-0.20422716815556213,-0.10612881834724269,0.0,0.0,970
picnicScene,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.072608843943915,-0.0976076425371416,-0.04816292459241019,0.0,0.0,970
picnicScene,SemanticFluencyScore,acoustic,full,-0.08087577005377387,-0.10567078017913747,-0.056318847652306575,0.0,0.0,970
picnicScene,SemanticFluencyScore,linguistic,full,-0.045429568752260945,-0.06847653778453829,-0.021577235303432342,0.0,0.0,970
picnicScene,SemanticFluencyScore,demographics,acoustic,-0.07586444959952456,-0.12885323824276088,-0.024893292945140887,0.001,0.005,970
picnicScene,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.037162642642402065,-0.0616738000442603,-0.012466511322905618,0.003,0.012,970
picnicScene,SemanticFluencyScore,linguistic+acoustic,full,-0.008266926109858875,-0.015086624220515762,-0.0018396418809658297,0.011,0.033,970
picnicScene,SemanticFluencyScore,baseline,demographics,-0.03870299518518607,-0.07994414527598133,0.002529336152198397,0.066,0.132,970
picnicScene,SemanticFluencyScore,acoustic,linguistic,-0.03544620130151294,-0.07740855252824695,0.007518537860069672,0.103,0.132,970
