target,task,model,fold,r2,rmse,mae,estimator
PictureNamingScore,picture_description_1min,full,0,0.045934929542795544,2.369274086764895,1.740586020563664,RandomForestRegressor
PictureNamingScore,picture_description_1min,full,1,0.17986831261078173,2.3360960218078644,1.6957564153395233,RandomForestRegressor
PictureNamingScore,picture_description_1min,full,2,0.33659890305842155,2.381144807737449,1.779812600589781,RandomForestRegressor
PictureNamingScore,picture_description_1min,full,3,0.35006815826295123,2.2093258633792825,1.6332189198492977,RandomForestRegressor
PictureNamingScore,picture_description_1min,full,4,0.14565630347048308,2.694251862434837,1.822013530628768,RandomForestRegressor
PictureNamingScore,picture_description_2min,full,0,0.054203019420792975,2.3589854818204756,1.7367674072863581,RandomForestRegressor
PictureNamingScore,picture_description_2min,full,1,0.24279490027324535,2.2446863155586243,1.6455223382153232,RandomForestRegressor
PictureNamingScore,picture_description_2min,full,2,0.37667445601579896,2.308102956267853,1.7133802596546701,RandomForestRegressor
PictureNamingScore,picture_description_2min,full,3,0.3660819439677454,2.18193812282431,1.6314269815345406,RandomForestRegressor
PictureNamingScore,picture_description_2min,full,4,0.19248059485332747,2.619379146856239,1.7872719320786823,RandomForestRegressor
PictureNamingScore,picture_description,full,0,0.05868855080674984,2.3533849781285117,1.741874715262491,RandomForestRegressor
PictureNamingScore,picture_description,full,1,0.2718202441478892,2.201244046059492,1.628313838947247,RandomForestRegressor
PictureNamingScore,picture_description,full,2,0.39915779560760833,2.266094049011552,1.6618241116807149,RandomForestRegressor
PictureNamingScore,picture_description,full,3,0.38033133677281317,2.1572756253730465,1.6142575742512855,RandomForestRegressor
PictureNamingScore,picture_description,full,4,0.22084374930856066,2.572966676580689,1.746664979023946,RandomForestRegressor
SemanticFluencyScore,picture_description_1min,full,0,0.16296730587895647,5.036907234002382,3.980221038033887,RandomForestRegressor
SemanticFluencyScore,picture_description_1min,full,1,0.12842019812644956,5.396820328219087,4.268202690932929,RandomForestRegressor
SemanticFluencyScore,picture_description_1min,full,2,0.17563850375173695,5.023190394872184,4.091939883689058,RandomForestRegressor
SemanticFluencyScore,picture_description_1min,full,3,0.0739492739892681,5.538215240117817,4.258439256925968,RandomForestRegressor
SemanticFluencyScore,picture_description_1min,full,4,0.2076262304729073,5.122095589116433,4.005680471652059,RandomForestRegressor
SemanticFluencyScore,picture_description_2min,full,0,0.18147638158648371,4.980906040539393,3.9184141830804995,RandomForestRegressor
SemanticFluencyScore,picture_description_2min,full,1,0.19245316650515354,5.194792924508559,4.145699650828935,RandomForestRegressor
SemanticFluencyScore,picture_description_2min,full,2,0.20895757432604267,4.920629641355725,3.996667479987446,RandomForestRegressor
SemanticFluencyScore,picture_description_2min,full,3,0.10544877285895748,5.443209501388406,4.194638575749265,RandomForestRegressor
SemanticFluencyScore,picture_description_2min,full,4,0.22070726173755995,5.0796401652469845,4.035122011254898,RandomForestRegressor
SemanticFluencyScore,picture_description,full,0,0.19564673024380375,4.9376028764045445,3.8325763075631323,RandomForestRegressor
SemanticFluencyScore,picture_description,full,1,0.1947236368696741,5.187485035413034,4.116091162100182,RandomForestRegressor
SemanticFluencyScore,picture_description,full,2,0.2285696501542981,4.859248963520697,3.91767044234015,RandomForestRegressor
SemanticFluencyScore,picture_description,full,3,0.1288363472234778,5.371583309483415,4.154375489867882,RandomForestRegressor
SemanticFluencyScore,picture_description,full,4,0.22029701850176786,5.080977027335204,4.006293715096346,RandomForestRegressor
PhonemicFluencyScore,picture_description_1min,full,0,0.08655403005807583,4.514546089667909,3.5695053717591683,RandomForestRegressor
PhonemicFluencyScore,picture_description_1min,full,1,0.008915647434400209,4.350644592506562,3.4513149068518842,RandomForestRegressor
PhonemicFluencyScore,picture_description_1min,full,2,0.06027437344952513,4.616227484737377,3.7274293150899256,RandomForestRegressor
PhonemicFluencyScore,picture_description_1min,full,3,0.04696821466556067,4.26312519297617,3.51322016213918,RandomForestRegressor
PhonemicFluencyScore,picture_description_1min,full,4,0.10216837658722189,4.60446287957891,3.598602639230143,RandomForestRegressor
PhonemicFluencyScore,picture_description_2min,full,0,0.05634363327461256,4.588593613439361,3.6100159883292924,RandomForestRegressor
PhonemicFluencyScore,picture_description_2min,full,1,0.03213622566234153,4.299375870757545,3.4254095841844667,RandomForestRegressor
PhonemicFluencyScore,picture_description_2min,full,2,0.03369743052961682,4.681049508857307,3.7692971117634704,RandomForestRegressor
PhonemicFluencyScore,picture_description_2min,full,3,0.06558125248919933,4.221289771734447,3.461870329338973,RandomForestRegressor
PhonemicFluencyScore,picture_description_2min,full,4,0.09047605497597722,4.6343475006302475,3.6065949110730395,RandomForestRegressor
PhonemicFluencyScore,picture_description,full,0,0.06323167362711246,4.571816157783101,3.6059091911407215,RandomForestRegressor
PhonemicFluencyScore,picture_description,full,1,0.04482520556502867,4.271099844571624,3.4313851019510353,RandomForestRegressor
PhonemicFluencyScore,picture_description,full,2,0.025916884961080022,4.699857333283702,3.7560700432492813,RandomForestRegressor
PhonemicFluencyScore,picture_description,full,3,0.08072584202736499,4.186941757599226,3.4055737748532673,RandomForestRegressor
PhonemicFluencyScore,picture_description,full,4,0.0745800111428403,4.674670075368664,3.6406578472459765,RandomForestRegressor
